marker,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9,large.gate
CD92,CTL1,SLC44A1,,,,,,,,FALSE
CD93,C1qRp,AA4.1,,,,,,,,FALSE
CD94,KLRD1,CD94 (KLRD1),,,,,,,,FALSE
CD95,Fas,CD95 (Fas),,,,,,,,FALSE
CD96,TACTILE,Tactile,,,,,,,,FALSE
CD97,,,,,,,,,,FALSE
CD98,CD98,4F2hc,SLC3A2,,,,,,,FALSE
CD99,MIC2,,,,,,,,,FALSE
CDK1,Cyclin-dependent kinase 1,CDC2,Cdc2,,,,,,,FALSE
CDK2,Cyclin-dependent kinase 2,Cdk2,,,,,,,,FALSE
CDK4,Cyclin-dependent kinase 4,Cdk4,,,,,,,,FALSE
CDK6,Cyclin-dependent kinase 6,Cdk6,,,,,,,,FALSE
CDw145,,,,,,,,,,FALSE
CLEC4F,,,,,,,,,,TRUE
CLEC12A,Clec12a,CLEC12A (Clec12a),,,,,,,,TRUE
CNTF,Ciliary neurotrophic factor,,,,,,,,,TRUE
Collagen I,ColI,COL1A1,Type I collagen,,,,,,,FALSE
Collagen IV,ColIV,COL4A1,Type IV collagen,,,,,,,FALSE
CREB,cAMP response element-binding protein,CREB1,,,,,,,,FALSE
CX3CL1,Fractalkine,,,,,,,,,TRUE
CX3CR1,Fractalkine Receptor,CX3CR1 (Fractalkine Receptor),,,,,,,,TRUE
CXCL1,GRO-alpha,,,,,,,,,FALSE
CXCL10,IP-10,Interferon gamma-induced protein 10,,,,,,,,FALSE
CXCL11,I-TAC,,,,,,,,,FALSE
CXCL12,SDF-1,,,,,,,,,FALSE
CXCL13,BCA-1,B lymphocyte chemoattractant,,,,,,,,FALSE
CXCL14,,,,,,,,,,FALSE
CXCL2,GRO-beta,,,,,,,,,FALSE
CXCL3,GRO-gamma,,,,,,,,,FALSE
CXCL4,PF4,,,,,,,,,FALSE
CXCL5,ENA-78,,,,,,,,,FALSE
CXCL6,GCP-2,,,,,,,,,FALSE
CXCL7,NAP-2,,,,,,,,,FALSE
CXCL9,MIG,Monokine induced by gamma interferon,,,,,,,,FALSE
CXCR1,CD181,CXCR1 (CD181),CD128a,,,,,,,FALSE
CXCR2,CD182,CXCR2 (CD182),CD128b,,,,,,,FALSE
CXCR3,CD183,CXCR3 (CD183),,,,,,,,FALSE
CXCR4,CD184,CXCR4 (CD184),,,,,,,,FALSE
CXCR5,CD185,CXCR5 (CD185),,,,,,,,FALSE
CXCR6,CD186,CXCR6 (CD186),,,,,,,,FALSE
CXCR7,ACKR3,CXCR7 (ACKR3),,CD189,RDC1,,,,,FALSE
CXCR8,CD188,CXCR8 (CD188),,,,,,,,FALSE
Cyclin B1,CCNB1,CyclinB1,,,,,,,,FALSE
Cyclin D1,CCND1,CyclinD1,BCL1,,,,,,,FALSE
Cyclin D3,CCND3,CyclinD3,,,,,,,,FALSE
Cyclin E,CCNE1,CyclinE,,,,,,,,FALSE
Cytokeratin8,Cytokeratin-8,Keratin8,Cytokeratin8,Keratin-8,,,,,,FALSE
DCIR2,,,,,,,,,,FALSE
Delta-1,DLL1,Delta like ligand 1,Dll-1,,,,,,,FALSE
Delta-4,DLL4,Delta like ligand 4,Dll-4,,,,,,,FALSE
Desmin,DES,,,,,,,,,FALSE
E-Cadherin,CD324,Cadherin-1,Cadherin1,Cadherin.1,CDH1,,,,,FALSE
E47,TCF3,E-protein,E2A,TCF-3,,,,,,FALSE
EGFR,ErbB1,HER1,CD170,Epidermal growth factor receptor,ERBB1,,,,,FALSE
Eomes,,,,,,,,,,FALSE
EOS,,,,,,,,,,FALSE
EpCAM,CD326,EpCAM (CD326),,,,,,,,FALSE
EphA2,EPH receptor A2,Eph-A2,,,,,,,,FALSE
EphB4,EPH receptor B4,Eph-B4,,,,,,,,FALSE
Ephrin-A1,EFNA1,Ephrin A1,,,,,,,,FALSE
Ephrin-B2,EFNB2,Ephrin B2,,,,,,,,FALSE
EPO,Erythropoietin,EPOR,Epo,,,,,,,FALSE
F4/80,F4-80,F4_80,F480,,,,,,,TRUE
FasL,CD178,FasL (CD178),,,,,,,,TRUE
FceRIa,FcER1,FceR1a,FceRIalpha,FceR1,FceRI,FceR1alpha,FcER1alpha,FcER1a,,FALSE
FcRL5,Fcrl5,,,,,,,,,FALSE
Fibronectin,FN1,Fn1,,,,,,,,FALSE
Flag,FLAG,DYKDDDDK,,,,,,,,FALSE
FLT3,CD135,FLK2,STK1,Flt-3,,,,,,FALSE
Follistatin,FST,Fst,,,,,,,,FALSE
FOLR2,FolR2,Folr2,,,,,,,,TRUE
FOXO1,FOXO1A,Forkhead box O1,,,,,,,,FALSE
FOXO3,FOXO3A,Forkhead box O3,,,,,,,,FALSE
FoxP3,Fox-P3,Foxp3,Foxp-3,,,,,,,FALSE
FR2,Folate Receptor 2,Fr2,,,,,,,,TRUE
G-CSF,CSF3,Granulocyte colony-stimulating factor,GCSF,,,,,,,FALSE
Galectin-3,Gal-3,Gal3,LGALS3,,,,,,,FALSE
Galectin-9,Gal-9,Gal9,LGALS9,,,,,,,FALSE
GARP,LRRC32,Garp,,,,,,,,FALSE
GATA-3,GATA-3,Gata3,GATA 3,,,,,,,FALSE
GFAP,GFAP,Gfap,,,,,,,,FALSE
GFP,Green Fluorescent Protein,Gfp,eGFP,,,,,,,FALSE
GITR,GITR,Gitr,,,,,,,,FALSE
GL7,GL7,,,,,,,,,FALSE
GM-CSF,CSF2,Granulocyte-macrophage colony-stimulating factor,GMCSF,GM_CSF,Gmcsf,,,,,FALSE
GPR183,GPR183,Gpr183,,,,,,,,FALSE
Gr-1,Gr1,,,,,,,,,TRUE
Granzyme A,Granzyme-A,GrA,GZMA,,,,,,,FALSE
Granzyme B,Granzyme-B,Granzymeb,Granzyme_B,GranzymeB,,,,,,FALSE
Granzyme K,Granzyme-K,GrK,GZMK,,,,,,,FALSE
Granzyme M,Granzyme-M,GrM,GZMM,,,,,,,FALSE
HA,HA tag,Ha,HA Tag,HA.Tag,,,,,,FALSE
Hedgehog,SHH,Sonic hedgehog,Shh,,,,,,,FALSE
Helios,Ikzf2,IKZF2,,,,,,,,FALSE
HER3,ErbB3,ERBB3,Receptor tyrosine-protein kinase erbB-3,,,,,,,FALSE
HIF-1a,HIF1A,Hypoxia-inducible factor 1 alpha,HIF-1alpha,HIF1-alpha,,,,,,FALSE
HLA-DR,HLA.DR,Hladr,HLA_DR,HLADR,,,,,,TRUE
HMGB1,HMG-1,High mobility group box 1,,,,,,,,FALSE
Iba-1,IBA1,AIF-1,Allograft inflammatory factor 1,,,,,,,TRUE
ICOS,ICOS (CD278),Icos,CD278,,,,,,,FALSE
ID2,Inhibitor of differentiation 2,Inhibitor of DNA binding 2,Id2,,,,,,,FALSE
ID3,Inhibitor of differentiation 3,Inhibitor of DNA binding 3,Id3,,,,,,,FALSE
IFNa,Interferon alpha,IFN-alpha,IFNalpha,,,,,,,FALSE
IFNb,Interferon beta,IFN-beta,IFNbeta,,,,,,,FALSE
IFNg,Interferon gamma,Ifng,Interferon,IFN-g,Interferon-g,Interferon-gamma,IFN-gamma,,,FALSE
IgD,Igd,,,,,,,,,FALSE
IgE,Ige,,,,,,,,,FALSE
IGF1R,CD221,Insulin-like growth factor 1 receptor,IGF-1R,,,,,,,FALSE
IgG,Igg,,,,,,,,,FALSE
IgG1,Igg1,,,,,,,,,FALSE
IgG2,Igg2,,,,,,,,,FALSE
IgG2a,Igg2a,,,,,,,,,FALSE
IgG2b,Igg2b,,,,,,,,,FALSE
IgG3,Igg3,,,,,,,,,FALSE
IgG4,Igg4,,,,,,,,,FALSE
IgM,Igm,,,,,,,,,FALSE
Ikaros,IKZF1,Ikaros zinc finger protein 1,,,,,,,,FALSE
IL-10,IL10,IL_10,Il10,,,,,,,FALSE
IL-11,IL11,Interleukin-11,Il11,,,,,,,FALSE
IL-12,IL12,Interleukin-12,IL-12p70,,,,,,,FALSE
IL-12p35,IL12p35,IL-12p35,Il12P35,,,,,,,FALSE
IL-12p40,IL12p40,IL-12p40,Il12P40,,,,,,,FALSE
IL-13,IL13,IL_13,Il13,,,,,,,FALSE
IL-15,IL15,IL_15,Il15,,,,,,,FALSE
IL-17,IL17,IL_17,Il17,IL-17A,IL17A,,,,,FALSE
IL-17F,IL17F,IL.17F,Il17F,,,,,,,FALSE
IL-17RB,IL17RB,IL17RB,Il17Rb,,,,,,,FALSE
IL-18,IL18,Interleukin-18,Il18,,,,,,,FALSE
IL-18R,IL18R,IL-18Receptor,IL_18R,IL-18-R,IL18-R,,,,,FALSE
IL-19,IL19,Interleukin-19,Il19,,,,,,,FALSE
IL-1a,IL1a,IL-1 alpha,Il1A,IL-1.alpha,,,,,,FALSE
IL-1b,IL1b,pro-IL-1-beta,Il1B,IL-1 beta,,,,,,FALSE
IL-2,IL2,IL.2,Il2,,,,,,,FALSE
IL-21,IL21,IL-21,Il21,,,,,,,FALSE
IL-21R,IL21R,IL-21 receptor,,,,,,,,FALSE
IL-22,IL22,IL-22,Il22,,,,,,,FALSE
IL-23,IL23,IL-23p19,Il23,IL_23p19,,,,,,FALSE
IL-23p19,IL23p19,IL-23,Il23p19,p19,,,,,,FALSE
IL-24,IL24,Interleukin-24,Il24,,,,,,,FALSE
IL-25,IL25,IL-17E,Il25,,,,,,,FALSE
IL-26,IL26,Interleukin-26,Il26,,,,,,,FALSE
IL-27,IL27,IL-27,Il27,IL.27,,,,,,FALSE
IL-28,IL28,IFN-lambda,Interferon lambda,,,,,,,FALSE
IL-3,IL3,Interleukin-3,Il3,,,,,,,FALSE
IL-31,IL31,Interleukin-31,Il31,,,,,,,FALSE
IL-32,IL32,Interleukin-32,Il32,,,,,,,FALSE
IL-33,IL33,IL-33,Il33,,,,,,,FALSE
IL-34,IL34,Interleukin-34,Il34,,,,,,,FALSE
IL-35,IL35,IL-35,Il35,EBI3,IL.35,,,,,FALSE
IL-36,IL36,Interleukin-36,Il36,,,,,,,FALSE
IL-37,IL37,Interleukin-37,Il37,,,,,,,FALSE
IL-4,IL4,Interleukin-4,Il4,,,,,,,FALSE
IL-5,IL5,Interleukin-5,Il5,,,,,,,FALSE
IL-6,IL6,Interleukin-6,Il6,,,,,,,FALSE
IL-7,IL7,Interleukin-7,Il7,,,,,,,FALSE
IL-8,IL8,CXCL8,Interleukin-8,,,,,,,FALSE
IL-9,IL9,Interleukin-9,Il9,,,,,,,FALSE
IntegrinB7,Integrin-b7,Integrinb7,Integrin B7,Itgb7,,,,,,FALSE
IRF1,Interferon regulatory factor 1,,,,,,,,,FALSE
IRF3,Interferon regulatory factor 3,,,,,,,,,FALSE
IRF4,IRF.4,Irf4,IRF-4,,,,,,,FALSE
IRF7,Interferon regulatory factor 7,,,,,,,,,FALSE
IRF8,Interferon regulatory factor 8,ICSBP,,,,,,,,FALSE
ivCD45,intravenous*CD45,,i.v.*CD45,intravenousCD45,i.v.CD45,injectedCD45,injCD45,CD45iv,CD45i.v,FALSE
Jagged-2,JAG2,Jagged2,,,,,,,,FALSE
JNK,MAPK8,c-Jun N-terminal kinase,SAPK,,,,,,,FALSE
Ki67,Ki_67,Ki67,,,,,,,,FALSE
Klf4,KLF4,Kruppel-like factor 4,,,,,,,,FALSE
KLRG1,Klrg1,,,,,,,,,FALSE
LAG3,LAG-3,Lag3,,,,,,,,FALSE
Laminin,LAM,Laminin-1,,,,,,,,FALSE
LAP,latent.TGF-beta,Lap,,,,,,,,FALSE
LEF1,LEF-1,Lymphoid enhancer binding factor 1,,,,,,,,FALSE
LIF,Leukemia inhibitory factor,HILDA,,,,,,,,FALSE
LTa,Lymphotoxin alpha,LT-alpha,TNFSF1,,,,,,,FALSE
Ly49D,,,,,,,,,,FALSE
Sca-1,Ly.6a,Ly-6A,Ly_6a,Sca1,Sca_1,Stem cell antigen-1,Stem cell antigen 1,,,FALSE
Ly6C,Ly.6c,Ly-6C,Ly_6C,,,,,,,TRUE
LY6E,Ly-6E,Lymphocyte antigen 6E,,,,,,,,FALSE
Ly6G,Ly.6G,Ly-6G,Ly_6G,,,,,,,TRUE
LYVE1,Lyve1,,,,,,,,,TRUE
M-CSF,CSF1,Macrophage colony-stimulating factor,MCSF,,,,,,,FALSE
MAP2,Microtubule associated protein 2,Microtubule-associated protein 2,,,,,,,,FALSE
mCherry,cherry,,,,,,,,,FALSE
Mcl-1,MCL1,Myeloid cell leukemia 1,,,,,,,,FALSE
MerTK,MertK,Mertk,,,,,,,,TRUE
MET,c-MET,HGFR,Hepatocyte growth factor receptor,,,,,,,FALSE
MHCI,H-2Kk,H-2Db,H-2Kb,H-2Db,MHC1,,,,,TRUE
MHCII,I-A,I-E,ClassII,MHC2,I-A/I-E,I-A I-E,IAIE,,,TRUE
Nanog,NANOG,Nanog,,,,,,,,FALSE
Nestin,NES,Nestin,Intermediate filament,,,,,,,FALSE
NeuN,RBFOX3,Fox-3,,,,,,,,TRUE
Neuropilin,CD304,Neuropilin,Neuropilin-1,Nrp1,Nrp-1,,,,,FALSE
Neuropilin-2,NRP2,Nrp-2,NRP-2,,,,,,,FALSE
NF-kB,NFkB,p65,RelA,NF-kappaB,,,,,,FALSE
NFAT1,NFATC2,Nuclear factor of activated T-cells 2,,,,,,,,FALSE
NFAT2,NFATC1,Nuclear factor of activated T-cells 1,NFATc1,,,,,,,FALSE
NFIL3,E4BP4,Nfil3,,,,,,,,FALSE
NK1.1,NK1-1,NK1_1,NK11,,,,,,,FALSE
NKp46,NK.p46,Nkp46,NKp46 (CD335),CD335,NK-p46,,,,,FALSE
Noggin,NOG,Nog,,,,,,,,FALSE
Notch1,NOTCH1,Notch-1,N1,,,,,,,FALSE
Notch2,NOTCH2,Notch-2,N2,,,,,,,FALSE
Notch3,NOTCH3,Notch-3,N3,,,,,,,FALSE
Notch4,NOTCH4,Notch-4,N4,,,,,,,FALSE
Nur77,,,,,,,,,,FALSE
NWS,NWS tag,Strep tag,Strep tag II,,,,,,,FALSE
O4,,,,,,,,,,FALSE
Oct4,POU5F1,Pou5f1,OCT4,Oct-4,,,,,,FALSE
Olig2,OLIG2,Oligodendrocyte lineage transcription factor 2,,,,,,,,FALSE
Ollas,OLLAS,,,,,,,,,FALSE
Oncostatin M,OSM,Oncostatin-M,,,,,,,,FALSE
p21,CDKN1A,Cip1,Waf1,CIP1,WAF1,,,,,FALSE
p27,CDKN1B,Kip1,,,,,,,,FALSE
P2RY12,P2Ry12,P2RY12 (P2Ry12),,,,,,,,TRUE
P2XR7,P2RX7,P2Xr7,,,,,,,,TRUE
p38,MAPK14,p38 MAPK,,,,,,,,FALSE
p53,TP53,Tumor suppressor p53,Trp53,,,,,,,FALSE
pAKT,phospho-AKT,p-AKT,pAkt,Phospho-AKT,,,,,,FALSE
PanCytokeratin,Pan.cytokeratin,Pan-cytokeratin,Pan_cytokeratin,,,,,,,FALSE
PAX5,Pax5,PAX5 (Pax5),,,,,,,,FALSE
Pax6,PAX6,Paired box protein 6,,,,,,,,FALSE
PD-1,CD279,Pd1,PD1 (CD279),PD.1,PD_1,PD-1,,,,FALSE
PD-L1,B7-H1,CD274,PDL1,PD-L1,PD_L1,,,,,TRUE
PD-L2,B7-DC,CD273,PDL2,PD-L2,PD_L2,,,,,TRUE
PDCA-1,PDCA1,PDCA.1,PDCA_1,plasmacytoid,,,,,,TRUE
PDGFR,PDGFRalpha/beta,PDGFR-ab,,,,,,,,FALSE
Perforin,Perf,Perforin,,,,,,,,FALSE
pERK,phospho-ERK,pERK1/2,phospho-p44/42 MAPK,pMAPK,Phospho-ERK,,,,,FALSE
PI3K,PIK3CA,Phosphatidylinositol 3-kinase,p110alpha,,,,,,,FALSE
PLZF,ZBTB16,Zbtb16,Promyelocytic leukemia zinc finger,,,,,,,FALSE
pmTOR,phospho-mTOR,p-mTOR,Phospho-mTOR,,,,,,,FALSE
podoplanin,PDPN,Aggrus,T1 alpha,gp36,,,,,,FALSE
pRb,RB1,Retinoblastoma protein,,,,,,,,FALSE
pSTAT1,phospho-STAT1,p-STAT1,Phospho-STAT1,,,,,,,FALSE
pSTAT3,pSTAT3,Pstat3,phospho-STAT3,,,,,,,FALSE
pSTAT4,phospho-STAT4,p-STAT4,Phospho-STAT4,,,,,,,FALSE
pSTAT5,pSTAT5,Pstat5,phospho-STAT5,,,,,,,FALSE
pSTAT6,phospho-STAT6,p-STAT6,Phospho-STAT6,,,,,,,FALSE
PTEN,Phosphatase and tensin homolog,PTEN tumor suppressor,,,,,,,,FALSE
PU.1,SPI1,Spi-1 proto-oncogene,Spib,PU1,,,,,,FALSE
Ras,HRAS,KRAS,NRAS,Ras GTPase,,,,,,FALSE
Rex1,ZFP42,Rex-1,,,,,,,,FALSE
RFP,tdT,Rfp,Red Fluorescent Protein,dsRed,ROSA-RFP,,,,,FALSE
RORgT,RORgamma,Rorgt,RORc,ROR-gamma,ROR-g,,,,,FALSE
ROS1,ROS,c-ROS,,,,,,,,FALSE
Runx1,RUNX1,CBFalpha2,AML1,,,,,,,FALSE
Runx3,RUNX3,CBFalpha3,AML2,,,,,,,FALSE
S,S tag,S-tag,S_tag,,,,,,,FALSE
S100A4,FSP1,Fibroblast-specific protein 1,Metastasin,,,,,,,TRUE
S100A8,MRP8,Calgranulin-A,,,,,,,,TRUE
S100A9,MRP14,Calgranulin-B,,,,,,,,TRUE
S100B,S100-b,S100beta,,,,,,,,TRUE
S1P1,S1P1R,S1P1,,,,,,,,FALSE
SCF,Stem cell factor,KITLG,KIT ligand,c-Kit ligand,Steel factor,,,,,FALSE
Semaphorin 3A,SEMA3A,Sema3A,,,,,,,,FALSE
Semaphorin 4D,SEMA4D,CD100,,,,,,,,FALSE
SHP-1,PTPN6,SHP1,Tyrosine-protein phosphatase non-receptor type 6,,,,,,,FALSE
SHP-2,PTPN11,SHP2,Tyrosine-protein phosphatase non-receptor type 11,,,,,,,FALSE
Siglec F,SiglecF,Siglec-F,Siglec.F,Siglec_F,,,,,,TRUE
Siglec H,SiglecH,Siglec-H,Siglec_H,,,,,,,TRUE
Siglec-8,Siglec8,Siglec 8,Siglec_8,,,,,,,TRUE
SMAD2,pSMAD2,Phospho-SMAD2,,,,,,,,FALSE
SMAD3,pSMAD3,Phospho-SMAD3,,,,,,,,FALSE
Sox1,SOX1,SRY-related HMG box-1,,,,,,,,FALSE
Sox17,SOX17,SRY-related HMG box-17,,,,,,,,FALSE
Sox2,SOX2,SRY-related HMG box-2,,,,,,,,FALSE
SpiB,SPIB,Spi-B transcription factor,,,,,,,,FALSE
SSEA-1,LeX,Lewis X antigen,CD15,FUT4,,,,,,FALSE
SSEA-3,Globopentaosylceramide,Stage-specific embryonic antigen 3,,,,,,,,FALSE
SSEA-4,Globoside,Stage-specific embryonic antigen 4,,,,,,,,FALSE
ST2,IL-33R,St2,IL33R,,,,,,,FALSE
Stabilin2,STAB2,Stabilin2,,,,,,,,FALSE
Survivin,BIRC5,Baculoviral IAP repeat-containing protein 5,,,,,,,,FALSE
synaptophysin,SYP,Syp,,,,,,,,FALSE
T-bet,T.bet,Tbet,,,,,,,,FALSE
TCF1,TCF1/7,Tcf1,TCF7,TCF1 (TCF7),,,,,,FALSE
TCF7L2,TCF4,Transcription factor 7 like 2,,,,,,,,FALSE
TCR Va24-Ja18,TCR.Va24_Ja18,Tcr Va24-Ja18,TCR Va24,TCR Va24_Ja18,,,,,,FALSE
TCR Va7.2,TCR.Va7.2,Tcr Va7.2,TCR Valpha7.2,TCR 7.2,,,,,,FALSE
TCR Vb11,TCR-Vb11,Tcr Vb11,,,,,,,,FALSE
TCR Vd2,TCRVdelta2,Tcr Vd2,,,,,,,,FALSE
TCR Vg9,TCRVgamma9,Tcr Vg9,,,,,,,,FALSE
TCRab,TCRalpha/beta,Tcrab,TCR-ab,TCR-alpha,TCR alpha/beta,TCR a/b,TCRa,TCR-a,,FALSE
TCRbeta,TCR-beta,Tcrbeta,TCR-b,TCR-beta,,,,,,FALSE
TCRgd,TCRgamma,Tcrg,gdTCR,gd TCR,TCR-gamma,TCR-gd,TCRd,TCR gd,TCRyd,FALSE
TER119,TER-119,Ter119,TER_119,TER.119,,,,,,FALSE
TGFb,TGFb1,TGF beta 1,Transforming growth factor beta 1,TGF-b1,,,,,,FALSE
TGFbeta,TGF-beta,Tgfbeta,TGF,,,,,,,FALSE
TIGIT,TIGIT,Tigit,,,,,,,,FALSE
Tim-1,TIM1,KIM-1,KIM1,HAVcr1,Kidney injury molecule 1,,,,,FALSE
TIM-4,Tim4,TIMD4,Tim-4,,,,,,,FALSE
TNF,TNF.alpha,Tnf,TNFa,TNF-a,TNF-alpha,TNF.alpha,TNF_alpha,TNF_a,TNF.a,FALSE
TOX,,,,,,,,,,FALSE
TOX2,TOX high mobility group box family member 2,,,,,,,,,FALSE
TPO,Thrombopoietin,THPO,Mpl ligand,,,,,,,FALSE
TRA-1-60,TRA160,Podocalyxin-like protein,PODXL,,,,,,,FALSE
TRA-1-81,TRA181,,,,,,,,,FALSE
TREM2,TREM2,Trem2,,,,,,,,FALSE
TrkB,NTRK2,Neurotrophic receptor tyrosine kinase 2,,,,,,,,FALSE
TSLP,Thymic stromal lymphopoietin,TSLP,Il7-like cytokine,,,,,,,FALSE
TYRO3,TYRO3 protein tyrosine kinase,SKY,,,,,,,,FALSE
V5,V5 tag,V5-tag,V5_tag,,,,,,,FALSE
VEGFR1,Flt-1,FLT1,vascular endothelial growth factor receptor 1,,,,,,,FALSE
VEGFR3,Flt-4,FLT4,vascular endothelial growth factor receptor 3,,,,,,,FALSE
Viability,fixable,Livedead,Viability,viable,viablity,live-dead,LD,,,FALSE
Vimentin,VIM,Vim,,,,,,,,FALSE
VSVg,VSV-g,VSV_g,,,,,,,,FALSE
Wnt-5a,WNT5A,Wnt5a,,,,,,,,FALSE
Wnt3a,WNT3A,Wnt-3a,,,,,,,,FALSE
XCL1,,,,,,,,,,FALSE
XCL2,,,,,,,,,,FALSE
XCR1,XCR1,Xcr1,,,,,,,,TRUE
YFP,Yellow Fluorescent Protein,Yfp,,,,,,,,FALSE
ZAP70,ZAP-70,Zap70,Zap.70,ZAP_70,,,,,,FALSE
