marker,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9,large.gate
CD11c,Itgax,,,,,,,,,TRUE
CD120a,TNFR1,TNFRSF1A,TNF receptor 1,,,,,,,FALSE
CD120b,TNFR2,TNFRSF1B,TNF receptor 2,,,,,,,FALSE
CD121a,IL-1R1,IL1R1,Interleukin-1 receptor 1,,,,,,,FALSE
CD121b,IL-1R2,IL1R2,Interleukin-1 receptor 2,,,,,,,FALSE
CD122,IL-2R-beta,CD122 (IL-2R-beta),,,,,,,,FALSE
CD123,IL3Ra,CD123 (IL3Ra),,,,,,,,FALSE
CD124,IL-4Ra,IL4Ra,Interleukin-4 receptor alpha,,,,,,,FALSE
CD125,IL-5Ra,IL5Ra,Interleukin-5 receptor alpha,,,,,,,FALSE
CD126,IL-6Ra,IL6Ra,gp80,,,,,,,FALSE
CD127,IL7Ralpha,IL7RA,CD127,,,,,,,FALSE
CD129,,,,,,,,,,FALSE
CD13,,,,,,,,,,FALSE
CD130,gp130,IL-6Rbeta,IL6ST,,,,,,,FALSE
CD131,Common beta chain,CSF2RB,IL-3/5/GM-CSFR beta,,,,,,,FALSE
CD132,gc,Common Gamma Chain,,,,,,,,FALSE
CD133,Prominin-1,PROM1,AC133,Prominin,,,,,,FALSE
CD134,TNFRSF4,OX40,OX-40,OX.40,,,,,,FALSE
CD135,FLT.3,FLT-3,FLT3,FLK2,,,,,,FALSE
CD136,RON,MSP-R,,,,,,,,FALSE
CD137,4-1BB,41BB,4.1BB,4_1BB,CD137,TNFRSF9,,,,FALSE
CD138,,,,,,,,,,FALSE
CD139,,,,,,,,,,FALSE
CD14,,,,,,,,,,FALSE
CD140a,PDGFRalpha,PDGFRA,Platelet-derived growth factor receptor alpha,,,,,,,FALSE
CD140b,PDGFRbeta,PDGFRB,Platelet-derived growth factor receptor beta,,,,,,,FALSE
CD141,BDCA-3,Thrombomodulin,BDCA3,BDCA_3,BDCA.3,,,,,TRUE
CD142,Tissue Factor,TF,F3,Coagulation factor III,,,,,,FALSE
CD143,ACE,,,,,,,,,FALSE
CD144,VE-Cadherin,CDH5,Vascular endothelial cadherin,,,,,,,FALSE
CD146,MCAM,CD146 (MCAM),,,,,,,,TRUE
CD147,EMMPRIN,Basigin,BSG,,,,,,,FALSE
CD148,RPTP-eta,DEP1,CD148,,,,,,,FALSE
CD149,,,,,,,,,,FALSE
CD15,Le X,Lewis X,,,,,,,,FALSE
CD150,SLAM1,SLAMF1,,,,,,,,FALSE
CD151,,,,,,,,,,FALSE
CTLA-4,CD152,CTLA4,Cytotoxic T-lymphocyte antigen 4,CTLA-4,CTLA.4,CTLA_4,,,,FALSE
CD153,CD30L,,,,,,,,,FALSE
CD154,CD40L,,,,,,,,,FALSE
CD155,PVR,Nectin-like 5,CD155 (PVR),Poliovirus receptor,,,,,,FALSE
CD156a,,,,,,,,,,FALSE
CD156b,ADAM17,TACE,,,,,,,,FALSE
CD156C,,,,,,,,,,FALSE
CD157,BST-1,,,,,,,,,FALSE
CD158,KIR,Killer cell immunoglobulin-like receptor,,,,,,,,FALSE
CD158A,KIR2DL1,,,,,,,,,FALSE
CD158B1,KIR2DL2,,,,,,,,,FALSE
CD158B2,KIR2DL3,,,,,,,,,FALSE
CD158C,KIR2DS6,,,,,,,,,FALSE
CD158D,KIR2DL4,,,,,,,,,FALSE
CD158E1,KIR3DL1,,,,,,,,,FALSE
CD158E2,KIR3DS1,,,,,,,,,FALSE
CD158F,KIR2DL5,,,,,,,,,FALSE
CD158G,KIR2DS5,,,,,,,,,FALSE
CD158H,KIR2DS1,,,,,,,,,FALSE
CD158I,KIR2DS4,,,,,,,,,FALSE
CD158J,KIR2DS2,,,,,,,,,FALSE
CD158K,KIR3DL2,,,,,,,,,FALSE
CD159a,NKG2A,NKG2-A,KLRC1,,,,,,,FALSE
CD159c,NKG2C,NKG2-C,KLRC2,,,,,,,FALSE
CD16,FcgRIII,CD16 (FcgRIII),,,,,,,,TRUE
CD16/32,CD16-32,CD16.32,CD16_32,FcgRII/III,,,,,,TRUE
CD160,BY55,NK1,,,,,,,,FALSE
CD161,,,,,,,,,,FALSE
CD163,,,,,,,,,,FALSE
CD166,ALCAM,Activated leukocyte cell adhesion molecule,,,,,,,,FALSE
CD169,,,,,,,,,,FALSE
CD16a,FcgRIIIa,FCGR3A,,,,,,,,TRUE
CD16b,FcgRIIIb,FCGR3B,,,,,,,,TRUE
CD17,Lactosylceramide,LacCer,,,,,,,,FALSE
CD170,Siglec-5,Siglec5,,,,,,,,TRUE
CD172a,SIRP1alpha,SIRP1a,,,,,,,,TRUE
CD172b,SIRPbeta,SIRP-beta,,,,,,,,TRUE
CD175,Tn antigen,,,,,,,,,FALSE
CD175s,Sialyl-Tn,,,,,,,,,FALSE
CD176,Thomsen-Friedenreich antigen,TF antigen,,,,,,,,FALSE
CD177,NB1,PRV-1,NB-1,,,,,,,FALSE
CD178,FasL,Fas Ligand,FasLigand,,,,,,,FALSE
CD179a,VpreB,,,,,,,,,FALSE
CD179b,Lambda5,IGLL1,,,,,,,,FALSE
CD18,Integrin beta-2,ITGB2,,,,,,,,TRUE
CD180,RP105,MD-1,,,,,,,,FALSE
CD19,,,,,,,,,,FALSE
CD1a,,,,,,,,,,TRUE
CD1b,,,,,,,,,,TRUE
CD1c,,,,,,,,,,TRUE
CD1d,,,,,,,,,,TRUE
CD1e,,,,,,,,,,TRUE
CD2,,,,,,,,,,FALSE
CD20,,,,,,,,,,FALSE
CD200,OX2,MRC OX-2,,,,,,,,FALSE
CD200R,Cd200r1,CD200R-1,MO2R1,CD200 receptor 1,Orexin receptor 2,Ox2r,Mox2r,,,TRUE
CD201,EPCR,Endothelial protein C receptor,,,,,,,,FALSE
CD202b,TEK,TIE2,Angiopoietin receptor,,,,,,,FALSE
CD203c,ENPP3,,,,,,,,,FALSE
CD204,MSR1,Macrophage scavenger receptor 1,,,,,,,,FALSE
CD205,DEC.205,DEC-205,DEC205,DEC 205,,,,,,TRUE
CD206,Mannose Receptor,MMR,,,,,,,,TRUE
CD207,Langerin,CD207 (Langerin),,,,,,,,TRUE
CD208,DC-LAMP,LAMP3 DC,,,,,,,,TRUE
CD209,DC-SIGN,CLEC4L,Dendritic cell-specific ICAM-3 grabbing nonintegrin,,,,,,,TRUE
CD21,CD21-35,CD21_35,CD21.35,CD21/35,,,,,,FALSE
CD210,IL-10R,IL10RA,CD210a,,,,,,,FALSE
CD210b,IL10RB,,,,,,,,,FALSE
CD212,IL-12Rbeta1,IL12RB1,,,,,,,,FALSE
CD213a1,IL-13Ra1,IL13RA1,,,,,,,,TRUE
CD213a2,IL13RA2,,,,,,,,,TRUE
CD214,IL-4R,IL4R,,,,,,,,FALSE
CD215,IL-15Ra,IL15RA,,,,,,,,FALSE
CD217,IL-17R,IL17RA,,,,,,,,FALSE
CD218a,IL-18Ra,IL18R1,,,,,,,,FALSE
CD218b,IL18RAP,,,,,,,,,FALSE
CD22,Siglec-2,,,,,,,,,TRUE
CD220,INSR,Insulin receptor,,,,,,,,FALSE
CD221,IGF1R,Insulin-like growth factor 1 receptor,,,,,,,,FALSE
CD222,M6PR,IGF2R,Cation-independent mannose-6-phosphate receptor,,,,,,,FALSE
CD223,LAG-3,,,,,,,,,FALSE
CD224,GGT1,Gamma-glutamyltranspeptidase 1,,,,,,,,FALSE
CD225,Leu13,,,,,,,,,FALSE
CD226,DNAM1,,,,,,,,,FALSE
CD227,MUC1,Mucin-1,PEM,,,,,,,FALSE
CD228,Melanotransferrin,MFI2,,,,,,,,FALSE
CD229,Ly9,SH2D3A,,,,,,,,FALSE
CD23,FceRII,FceR2,,,,,,,,FALSE
CD230,PrP,Prion protein,,,,,,,,FALSE
CD231,TALLA-1,A15,TM4SF2,,,,,,,FALSE
CD232,VESPR,PLXNC1,,,,,,,,FALSE
CD233,Band 3,SLC4A1,Anion exchanger 1,,,,,,,FALSE
CD234,DARC,ACKR1,Duffy antigen,,,,,,,FALSE
CD235a,GPA,Glycophorin A,,,,,,,,FALSE
CD235ab,Glycophorin A/B,GPA/GPB,,,,,,,,FALSE
CD235b,GPB,Glycophorin B,,,,,,,,FALSE
CD236,Glycophorin C,GPC,GYPC,,,,,,,FALSE
CD238,Kell,Kell antigen,,,,,,,,FALSE
CD239,B-CAM,LU,Lutheran antigen,,,,,,,FALSE
CD24,CD24,,,,,,,,,FALSE
CD240CE,RhCE antigen,,,,,,,,,FALSE
CD240D,Rh D antigen,,,,,,,,,FALSE
CD241,RhCE,,,,,,,,,FALSE
CD242,ICAM-4,,,,,,,,,FALSE
CD243,MDR1,ABCB1,P-glycoprotein,,,,,,,FALSE
CD244,SLAMF4,2B4,,,,,,,,FALSE
CD245,,,,,,,,,,FALSE
CD246,ALK,,,,,,,,,FALSE
CD247,CD3zeta,TCR zeta,,,,,,,,FALSE
CD248,Endosialin,TEM1,,,,,,,,FALSE
CD249,Aminopeptidase A,,,,,,,,,FALSE
CD25,IL2Ralpha,CD25 (IL2Ralpha),,,,,,,,FALSE
CD252,OX40L,TNFSF4,OX-40L,OX40 ligand,OX40L (CD252),,,,,TRUE
CD253,TRAIL,TNFSF10,Apo2L,TRAIL (CD253),,,,,,TRUE
CD254,RANKL,TNFSF11,Receptor activator of NF-kB ligand,,,,,,,TRUE
CD255,TWEAK,TNFSF12,TWEAK (CD255),,,,,,,TRUE
CD256,APRIL,TNFSF13,,,,,,,,TRUE
CD257,BAFF,TNFSF13B,BLyS,,,,,,,TRUE
CD258,LIGHT,TNFSF14,,,,,,,,TRUE
CD26,DPP4,Dipeptidyl peptidase-4,DPP-4,,,,,,,TRUE
CD261,TRAIL-R1,DR4,TNFRSF10A,,,,,,,TRUE
CD262,TRAIL-R2,DR5,TNFRSF10B,,,,,,,TRUE
CD263,DcR1,TNFRSF10C,,,,,,,,TRUE
CD264,TRAIL-R4,DcR2,TNFRSF10D,,,,,,,TRUE
CD265,RANK,TNFRSF11A,,,,,,,,TRUE
CD266,TWEAK-R,FN14,TNFRSF12A,,,,,,,TRUE
CD267,TACI,TNFRSF13B,,,,,,,,TRUE
CD269,BCMA,TNFRSF17,B-cell maturation antigen,,,,,,,TRUE
CD27,,,,,,,,,,TRUE
CD270,HVEM,TNFRSF14,Herpes virus entry mediator,,,,,,,TRUE
CD271,LNGFR,NGF receptor,p75NTR,,,,,,,TRUE
CD272,BTLA,CD272 (BTLA),,,,,,,,TRUE
CD275,ICOSL,B7-H2,,,,,,,,TRUE
CD276,B7-H3,,,,,,,,,TRUE
CD277,BTN3A1,,,,,,,,,TRUE
CD28,,,,,,,,,,FALSE
CD280,ENDO180,CLEC13E,MRC2,,,,,,,TRUE
CD281,TLR1,Toll-like receptor 1,,,,,,,,TRUE
CD282,TLR2,Toll-like receptor 2,,,,,,,,TRUE
CD283,TLR3,Toll-like receptor 3,,,,,,,,TRUE
CD284,TLR4,Toll-like receptor 4,,,,,,,,TRUE
CD286,TLR6,Toll-like receptor 6,,,,,,,,TRUE
CD288,TLR8,Toll-like receptor 8,,,,,,,,TRUE
CD289,TLR9,Toll-like receptor 9,,,,,,,,TRUE
CD29,Integrin-beta1,Integrin-b1,Itgb1,beta1 integrin,,,,,,FALSE
CD290,TLR10,Toll-like receptor 10,,,,,,,,TRUE
CD292,BMPR1A,,,,,,,,,TRUE
CD293,BMPR1B,,,,,,,,,TRUE
CD294,CRTH2,PTGDR2,Prostaglandin D2 receptor 2,,,,,,,TRUE
CD295,LEPR,,,,,,,,,TRUE
CD296,ART1,ART-1,,,,,,,,TRUE
CD297,ART4,,,,,,,,,TRUE
CD298,ATP1B3,Na+/K+-ATPase beta3 subunit,,,,,,,,TRUE
CD299,DC-SIGNR,CLEC4M,,,,,,,,TRUE
CD3,CD3e,,,,,,,,,FALSE
CD30,TNFRSF8,CD30 (TNFRSF8),,,,,,,,FALSE
CD300a,IRp60,CMRF35-H9,LMIR1,,,,,,,TRUE
CD300c,CMRF35,CMRF35-A,LMIR3,,,,,,,TRUE
CD301,CLEC10A,,,,,,,,,TRUE
CD302,CL-P1,COLEC12,Collectin placenta 1,,,,,,,TRUE
CD303,BDCA2,BDCA-2,,,,,,,,TRUE
CD305,LAIR-1,LAIR1,,,,,,,,TRUE
CD306,LAIR-2,LAIR2,,,,,,,,TRUE
CD307,FcRL5,FCRH5,FcRH5,CD307e,,,,,,TRUE
CD307a,FCRL1,,,,,,,,,TRUE
CD307b,FCRL2,,,,,,,,,TRUE
CD307c,FCRL3,,,,,,,,,TRUE
CD307d,FCRL4,,,,,,,,,TRUE
CD309,KDR,VEGFR2,Vascular endothelial growth factor receptor 2,,,,,,,TRUE
CD31,PECAM_1,PECAM.1,FcgRIIa,PECAM-1,PECAM1,PECAM,,,,TRUE
CD312,EMR2,ADGRE2,,,,,,,,TRUE
CD314,NKG2D,KLRK1,,,,,,,,FALSE
CD315,CD9P-1,PTGFRN,,,,,,,,TRUE
CD316,EWI-2,IGSF8,,,,,,,,TRUE
CD317,BST-2,Tetherin,HM1.24,,,,,,,TRUE
CD318,CDCP1,,,,,,,,,TRUE
CD319,SLAMF7,CS1,CRACC,Elotuzumab target,,,,,,TRUE
CD32,FcgRII,FcgRIIb,CD32b,FcgRII-b,,,,,,TRUE
CD320,8D6A,,,,,,,,,TRUE
CD321,JAM-A,JAM1,F11R,Junctional adhesion molecule A,,,,,,TRUE
CD322,JAM-2,JAM2,Junctional adhesion molecule 2,,,,,,,TRUE
CD324,E-Cadherin,E-cad,Cadherin-1,Epithelial cadherin,CDH1,,,,,TRUE
CD325,N-Cadherin,N-cad,Cadherin-2,CDH2,,,,,,TRUE
CD327,Siglec-6,,,,,,,,,TRUE
CD328,Siglec-7,Siglec7,p75,p75/AIRM1,,,,,,TRUE
CD329,Siglec-9,Siglec9,,,,,,,,TRUE
CD33,Siglec-3,Siglec3,,,,,,,,TRUE
CD331,FGFR1,Fibroblast growth factor receptor 1,,,,,,,,TRUE
CD332,FGFR2,Fibroblast growth factor receptor 2,,,,,,,,TRUE
CD333,FGFR3,Fibroblast growth factor receptor 3,,,,,,,,TRUE
CD334,FGFR4,Fibroblast growth factor receptor 4,,,,,,,,TRUE
CD335,NKp46,NCR1,Natural cytotoxicity triggering receptor 1,,,,,,,FALSE
CD336,NKp44,NCR2,Natural cytotoxicity triggering receptor 2,,,,,,,FALSE
CD337,NKp30,NCR3,Natural cytotoxicity triggering receptor 3,,,,,,,FALSE
CD338,ABCG2,BCRP,Breast cancer resistance protein,,,,,,,TRUE
CD339,Jagged-1,JAG1,,,,,,,,TRUE
CD34,,,,,,,,,,FALSE
CD340,HER2,ErbB2,ErbB-2,ERBB2,Receptor tyrosine-protein kinase erbB-2,,,,,TRUE
CD344,,,,,,,,,,TRUE
CD349,Frizzled-9,FZD9,,,,,,,,TRUE
CD35,CR1,Complement receptor 1,,,,,,,,FALSE
CD350,Frizzled-4,FZD4,,,,,,,,TRUE
CD351,FcauR,FCAMR,,,,,,,,TRUE
CD352,SLAMF6,NTB-A,Slam-F6,SlamF-6,Slamf6,,,,,FALSE
CD353,SLAMF8,,,,,,,,,FALSE
CD354,TREM1,,,,,,,,,TRUE
CD355,CRTAM,,,,,,,,,TRUE
CD357,GITR,TNFRSF18,,,,,,,,FALSE
CD358,DR6,TNFRSF21,,,,,,,,TRUE
CD36,SR-B2,SCARB2,Fatty acid translocase,,,,,,,FALSE
CD360,IL21R,,,,,,,,,FALSE
CD361,EVI2B,,,,,,,,,FALSE
CD362,Syndecan-2,SDC2,,,,,,,,FALSE
CD363,S1PR1,,,,,,,,,FALSE
CD364,CRISP9,Peptidase Inhibitor 16,PI-16,,,,,,,FALSE
CD365,Galectin-9,LGALS9,,,,,,,,FALSE
CD366,TIM-3,HAVCR2,TIM-3,TIM.3,Tim3,,,,,FALSE
CD367,CLEC4A,DCIR,,,,,,,,TRUE
CD368,CLEC4D,,,,,,,,,TRUE
CD369,CLEC7A,Dectin-1,,,,,,,,TRUE
CD37,GP52-40,TSPAN26,,,,,,,,FALSE
CD370,CLEC9A,,,,,,,,,TRUE
CD371,CLEC12A,,,,,,,,,TRUE
CD38,,,,,,,,,,FALSE
CD39,ENTPD1,NTPDase-1,,,,,,,,FALSE
CD3d,,,,,,,,,,FALSE
CD3g,,,,,,,,,,FALSE
CD4,L3T4,,,,,,,,,FALSE
CD40,,,,,,,,,,FALSE
CD41,GPIIb,Integrin alpha-IIb,Itga2b,,,,,,,FALSE
CD42a,GPIX,,,,,,,,,FALSE
CD42b,GPIb,Glycoprotein Ib,GPIbalpha,,,,,,,FALSE
CD42c,GPIbbeta,,,,,,,,,FALSE
CD42d,GPV,,,,,,,,,FALSE
CD43,Sialophorin,Spn,,,,,,,,FALSE
CD44,,,,,,,,,,FALSE
CD45,,,,,,,,,,FALSE
CD45.1,CD45_1,,,,,,,,,FALSE
CD45.2,CD45_2,,,,,,,,,FALSE
CD45RA,,,,,,,,,,FALSE
CD45RB,,,,,,,,,,FALSE
CD45RC,,,,,,,,,,FALSE
CD45RO,,,,,,,,,,FALSE
CD46,MCP,Membrane Cofactor Protein,,,,,,,,FALSE
CD47,IAP,integrin-associated protein,,,,,,,,FALSE
CD48,,,,,,,,,,FALSE
CD49a,ITGA1,,,,,,,,,FALSE
CD49b,Integrin alpha-2,Itga2,Integrin a2,Integrin alpha-2,DX5,,,,,FALSE
CD49c,Integrin alpha-3,ITGA3,,,,,,,,FALSE
CD49d,Integrin alpha-4,ITGA4,VLA-4,,,,,,,FALSE
CD49e,Integrin alpha-5,ITGA5,,,,,,,,FALSE
CD49f,Integrin alpha-6,ITGA6,,,,,,,,FALSE
CD5,,,,,,,,,,FALSE
CD50,ICAM-3,ICAM3,,,,,,,,FALSE
CD51,Integrin alpha-V,Itgav,Vitronectin receptor,,,,,,,FALSE
CD52,CAMPATH-1,,,,,,,,,FALSE
CD53,,,,,,,,,,FALSE
CD54,ICAM-1,ICAM1,Intercellular adhesion molecule 1,,,,,,,FALSE
CD55,DAF,Decay accelerating factor,,,,,,,,FALSE
CD56,NCAM,,,,,,,,,FALSE
CD57,L2,HNK-1,LEU-7,,,,,,,FALSE
CD58,LFA-3,LFA3,,,,,,,,FALSE
CD59,Protectin,MIRL,,,,,,,,FALSE
CD6,,,,,,,,,,FALSE
CD60a,,,,,,,,,,FALSE
CD60b,,,,,,,,,,FALSE
CD60c,,,,,,,,,,FALSE
CD61,Integrin beta-3,Itgb3,Beta3 integrin,GPIIIa,,,,,,FALSE
CD62E,E-Selectin,ELAM-1,,,,,,,,FALSE
CD62L,L-Selectin,L-selectin,L Selectin,,,,,,,FALSE
CD62P,P-Selectin,GMP-140,,,,,,,,FALSE
CD63,LAMP-3,LAMP3,,,,,,,,FALSE
CD64,FcgRI,CD64 (FcgRI),CD64a,,,,,,,FALSE
CD65,,,,,,,,,,FALSE
CD65s,,,,,,,,,,FALSE
CD66a,CEACAM1,BGP,,,,,,,,TRUE
CD66b,CEACAM8,CD66-b,,,,,,,,TRUE
CD66c,CEACAM6,CD66-c,,,,,,,,TRUE
CD66d,CEACAM3,,,,,,,,,TRUE
CD66e,CEACAM5,CEA,,,,,,,,TRUE
CD66f,PSG1,,,,,,,,,FALSE
CD67,,,,,,,,,,FALSE
CD68,,,,,,,,,,FALSE
CD69,,,,,,,,,,FALSE
CD7,CD7,,,,,,,,,FALSE
CD70,CD27L,CD27 Ligand,,,,,,,,FALSE
CD71,TfR1,TfR,Tranferrin receptor,Transferrin receptor 1,,,,,,FALSE
CD72,,,,,,,,,,FALSE
CD73,NT5E,,,,,,,,,FALSE
CD74,CLIP,Invariant chain,,,,,,,,FALSE
CD75,,,,,,,,,,FALSE
CD75s,,,,,,,,,,FALSE
CD76,DBA.44,,,,,,,,,FALSE
CD77,Gb3,,,,,,,,,FALSE
CD79a,Igalpha,Iga,Ig-alpha,mb-1,B29,,,,,FALSE
CD79b,Igbeta,Igb,Ig-beta,B29,,,,,,FALSE
CD8,CD8alpha,CD8a,Cd8,Cd8a,,,,,,FALSE
CD80,B7.1,B7_1,B7-1,,,,,,,FALSE
CD81,TAPA-1,,,,,,,,,FALSE
CD82,KAI1,,,,,,,,,FALSE
CD83,,,,,,,,,,FALSE
CD84,SLAMF5,,,,,,,,,FALSE
CD85A,LILRB3,ILT5,,,,,,,,FALSE
CD85B,ILT8,,,,,,,,,FALSE
CD85C,LILRB5,,,,,,,,,TRUE
CD85D,LILRB2,ILT4,,,,,,,,TRUE
CD85F,LILRA5,ILT11,,,,,,,,TRUE
CD85G,LILRA4,ILT7,,,,,,,,TRUE
CD85H,LILRA2,ILT1,,,,,,,,TRUE
CD85I,LILRA1,,,,,,,,,TRUE
CD85j,ILT2,LILRB1,LIR-1,LIR1,MIR-7,,,,,FALSE
CD85K,LILRB4,ILT3,,,,,,,,TRUE
CD85M,ILT10,,,,,,,,,FALSE
CD86,B7.2,B7_2,B7-2,,,,,,,FALSE
CD87,uPAR,PLAUR,,,,,,,,FALSE
CD88,C5aR,C5a receptor,,,,,,,,FALSE
CD89,FcaRI,IgA receptor,,,,,,,,TRUE
CD8b,CD8 beta,CD8-beta,CD8beta,Cd8b,,,,,,FALSE
CD9,,,,,,,,,,FALSE
CD90,Thy1,CD90 (Thy1),,,,,,,,FALSE
CD90.1,Thy1.1,,,,,,,,,FALSE
CD90.2,Thy1.2,,,,,,,,,FALSE
CD91,LRP1,,,,,,,,,FALSE
