,320CH1-A,320CH2-A,320CH3-A,320CH4-A,320CH5-A,320CH6-A,320CH7-A,320CH8-A,320CH9-A,320CH10-A,320CH11-A,320CH12-A,320CH13-A,320CH14-A,320CH15-A,320CH16-A,320CH17-A,320CH18-A,320CH19-A,320CH20-A,320CH21-A,320CH22-A,320CH23-A,320CH24-A,320CH25-A,320CH26-A,320CH27-A,320CH28-A,320CH29-A,320CH30-A,320CH31-A,320CH32-A,320CH33-A,320CH34-A,320CH35-A,355CH1-A,355CH2-A,355CH3-A,355CH4-A,355CH5-A,355CH6-A,355CH7-A,355CH8-A,355CH9-A,355CH10-A,355CH11-A,355CH12-A,355CH13-A,355CH14-A,355CH15-A,355CH16-A,355CH17-A,355CH18-A,355CH19-A,355CH20-A,355CH21-A,355CH22-A,355CH23-A,355CH24-A,355CH25-A,355CH26-A,355CH27-A,355CH28-A,355CH29-A,355CH30-A,355CH31-A,355CH32-A,355CH33-A,355CH34-A,355CH35-A,405CH1-A,405CH2-A,405CH3-A,405CH4-A,405CH5-A,405CH6-A,405CH7-A,405CH8-A,405CH9-A,405CH10-A,405CH11-A,405CH12-A,405CH13-A,405CH14-A,405CH15-A,405CH16-A,405CH17-A,405CH18-A,405CH19-A,405CH20-A,405CH21-A,405CH22-A,405CH23-A,405CH24-A,405CH25-A,405CH26-A,405CH27-A,405CH28-A,405CH29-A,405CH30-A,405CH31-A,405CH32-A,405CH33-A,405CH34-A,405CH35-A,488CH4-A,488CH5-A,488CH6-A,488CH7-A,488CH8-A,488CH9-A,488CH10-A,488CH11-A,488CH12-A,488CH13-A,488CH14-A,488CH15-A,488CH16-A,488CH17-A,488CH18-A,488CH19-A,488CH20-A,488CH21-A,488CH22-A,488CH23-A,488CH24-A,488CH25-A,488CH26-A,488CH27-A,488CH28-A,488CH29-A,488CH30-A,488CH31-A,488CH32-A,488CH33-A,488CH34-A,488CH35-A,561CH10-A,561CH11-A,561CH12-A,561CH13-A,561CH14-A,561CH15-A,561CH16-A,561CH17-A,561CH18-A,561CH19-A,561CH20-A,561CH21-A,561CH22-A,561CH23-A,561CH24-A,561CH25-A,561CH26-A,561CH27-A,561CH28-A,561CH29-A,561CH30-A,561CH31-A,561CH32-A,561CH33-A,561CH34-A,561CH35-A,637CH17-A,637CH18-A,637CH19-A,637CH20-A,637CH21-A,637CH22-A,637CH23-A,637CH24-A,637CH25-A,637CH26-A,637CH27-A,637CH28-A,637CH29-A,637CH30-A,637CH31-A,637CH32-A,637CH33-A,637CH34-A,637CH35-A
PerCP,-0.004095218,0.000149144,0.000726644,0.002705873,0.002055454,0.003152163,0.002982307,0.001055199,-0.000518057,0.000363543,-0.001211628,-0.000267817,-0.000259782,-0.001558778,0.000282423,0.000601178,0.013547281,0.163319186,0.609452134,0.486512609,0.157559631,0.083797249,0.077596739,0.0858622,0.087858565,0.06246791,0.035437543,0.017346899,0.004981847,0.00108705,0.000516756,0.0005371,0.000301158,0.000138506,3.81E-05,-0.003258958,-0.000983745,-0.000250017,-0.000590625,0.000341305,-7.29E-05,-2.27E-05,-0.000101977,0.000164534,-0.000217886,-0.000393738,1.03E-05,0.000115786,0.000159483,4.24E-05,0.000149679,0.002758016,0.028790931,0.151517605,0.131836012,0.039911657,0.02057698,0.017192616,0.021475539,0.023926958,0.019365851,0.012339619,0.006168661,0.003392677,0.002120525,0.002140156,0.001565729,0.001297628,0.000973497,0.000652182,-0.002467615,-0.003469575,-0.000763135,-0.003057325,-0.002847016,-0.001512601,0.000925346,-0.002234631,0.000798973,-0.000170967,0.000221442,0.000995991,0.000328321,0.002240507,0.000832904,0.001586245,0.025666978,0.275383122,1,0.680578476,0.23016328,0.122140456,0.115022857,0.131393761,0.138725186,0.110300968,0.064788918,0.032404974,0.018013458,0.011484656,0.009180453,0.009190905,0.006982824,0.003516871,0.001072923,-6.70E-05,-0.000295174,-0.000352414,-5.70E-05,-0.000249008,0.000103224,0.000463341,0.000950925,0.001425669,8.79E-05,0.000665878,0.000449527,0.000268516,0.004252277,0.038324647,0.183686071,0.155855126,0.050140355,0.024221503,0.035239472,0.024666997,0.029281505,0.022895886,0.015111347,0.006821012,0.00378565,0.001809911,0.00199904,0.001724529,0.001379378,0.000749774,0.000820423,0.000853163,0.000108502,-0.000832046,9.22E-05,0.000963916,0.000823014,0.000472803,0.011816284,0.155998605,0.655609127,0.55018082,0.181480287,0.089744318,0.084561555,0.092395824,0.109550689,0.086262372,0.053443885,0.02720212,0.014696654,0.007967582,0.004844967,0.002970339,0.001245356,0.00051365,0.000408541,0.006858256,0.036126728,0.173428947,0.134870837,0.043712126,0.020225149,0.018947752,0.02227338,0.02732133,0.021226434,0.014090036,0.006135508,0.002941473,0.002036221,0.002822216,0.00279543,0.002616433,0.00114952,0.000819096
PerCP-eFluor 710,-0.001217251,0.000117622,1.46E-05,0.000280718,0.00056847,0.000352911,8.36E-05,0.000335018,2.60E-05,-2.87E-05,0.000242689,0.000256829,0.000363214,0.000261865,0.000113391,0.000113805,0.001810169,0.015668222,0.060992495,0.091401353,0.147394142,0.220548426,0.232681101,0.169388707,0.107465536,0.065201614,0.052561124,0.044108369,0.041848009,0.029233188,0.022231152,0.015271041,0.008217244,0.001319455,0.000521582,-0.000764663,-0.000194585,-3.65E-05,-9.65E-05,5.20E-05,0.000148933,1.42E-05,-2.63E-06,-2.36E-05,2.98E-05,5.76E-05,4.00E-05,5.96E-05,3.33E-05,7.71E-06,2.78E-05,0.000414497,0.003082603,0.015968791,0.024147498,0.035967931,0.059447785,0.063417458,0.052298272,0.03482712,0.023464018,0.016958347,0.015466461,0.013621248,0.013023817,0.010606805,0.008477794,0.005330231,0.003494471,0.002137241,-0.00060015,-0.000591823,-4.70E-05,0.000772972,-1.52E-05,0.000672526,0.000180647,4.35E-05,-0.000109508,0.000124694,0.00014209,0.000546294,0.000754005,0.001522163,0.001482465,0.001421697,0.007935414,0.04951168,0.192370893,0.314174329,0.629680429,0.948917619,1,0.740791026,0.470949953,0.317641141,0.232237745,0.20082927,0.183636601,0.161869743,0.128179771,0.100245211,0.068207784,0.043777914,0.025248458,5.47E-05,-8.87E-05,4.23E-05,-1.03E-05,8.98E-05,-5.35E-05,6.78E-05,0.000170301,0.00017356,0.000339738,0.000553076,0.000619506,0.000558298,0.002347066,0.013647302,0.066669874,0.134875339,0.279538701,0.442353605,0.464396875,0.373358118,0.251737899,0.169470789,0.12658507,0.109090103,0.102023027,0.080928195,0.068311643,0.049879716,0.037524522,0.025881982,0.017427693,0.000682845,0.000184595,0.000224427,0.00023345,0.000381373,0.000299336,0.000161349,0.002725885,0.023996569,0.101952042,0.169793978,0.321593915,0.48987251,0.549633315,0.400546864,0.278646289,0.184619709,0.136710082,0.118951847,0.111356232,0.090905632,0.07228978,0.052898368,0.037658036,0.024171962,0.017908736,0.002123895,0.007156824,0.033148931,0.066190267,0.149642023,0.240175917,0.28205775,0.218001629,0.149541324,0.096268678,0.075608583,0.063959121,0.059438138,0.054479958,0.046684932,0.036162566,0.024559841,0.015896446,0.012381665
PerCP-Cy5.5,-0.005562775,-0.000321982,-0.000336655,0.001350985,-0.000380493,-0.000687096,6.75E-05,-0.001140824,-2.01E-05,-0.000710472,-0.000517837,-0.000859857,-0.001125712,0.000786237,0.000478621,0.000388244,0.012049133,0.105039674,0.397651886,0.448410783,0.35547622,0.301137411,0.230238743,0.167933617,0.128683379,0.091392557,0.07720253,0.057977763,0.045659333,0.023088356,0.011715573,0.002785612,0.001070331,0.00037634,0.00027006,-0.003025858,-0.000832608,-0.000304191,8.09E-05,-0.000380754,1.54E-05,-0.00019021,9.65E-05,4.78E-05,3.30E-05,0.000285477,0.000191221,-0.0002108,0.000111237,2.35E-05,0.000120818,0.002492193,0.020008388,0.103221547,0.124606018,0.09305228,0.085301573,0.062605699,0.048254458,0.039334859,0.031946288,0.024535123,0.021431245,0.016273407,0.012981262,0.009151233,0.006867324,0.004585795,0.002978505,0.001852505,-0.00243992,-0.002278413,-0.001554038,-0.001367103,-0.002306611,0.00079571,-0.000807098,0.002177808,-0.00010385,-0.000261554,0.000237373,0.001015369,0.001642154,0.002069376,0.002165056,0.00262135,0.02917629,0.231657287,0.883293346,1,0.994667779,0.869232858,0.661979384,0.471715446,0.358093792,0.285639036,0.226196985,0.186835008,0.149568467,0.112746546,0.081942034,0.064274638,0.04413201,0.030265243,0.017006893,-0.000589245,-0.000371383,-0.000292699,-0.000391908,-0.000174319,-6.97E-05,-5.95E-05,0.001000056,-5.17E-05,0.000646557,0.000584668,0.000656364,0.000460658,0.005880627,0.044762143,0.21082006,0.31069832,0.337255085,0.306899307,0.227414764,0.167322223,0.129538073,0.104538802,0.086313072,0.072350093,0.060186336,0.041733447,0.032143518,0.022816811,0.017811334,0.012433865,0.008816181,0.001870817,0.000851327,0.000778177,0.000107732,0.000343181,0.000322515,0.000442791,0.012514821,0.124608648,0.528699125,0.656729874,0.617019439,0.530933019,0.419037169,0.285409747,0.236826248,0.187737367,0.15201735,0.123170141,0.099999034,0.072096192,0.050412651,0.036138405,0.026045394,0.017141102,0.013010371,0.008875128,0.037721927,0.171353248,0.23076898,0.258095063,0.237641435,0.19002128,0.127776122,0.098587184,0.078881454,0.069531654,0.059828735,0.048803352,0.037428356,0.029167807,0.021894111,0.015841442,0.00988064,0.008207779
PerCP-Fire 806,-0.003676345,-0.001666674,-0.000873247,-0.00064618,0.001953942,6.73E-05,0.001322891,0.00393146,-0.000655225,-0.000555417,-0.000593699,-0.001000985,0.000516513,-7.20E-05,0.000201157,-0.000120272,0.002019719,0.015735251,0.057200187,0.053531091,0.023878188,0.017479321,0.013523215,0.01164867,0.011788683,0.009286924,0.011944771,0.022770622,0.052420355,0.077833768,0.110852178,0.110545822,0.089774348,0.052191681,0.024544506,-0.003261399,-0.000758212,-0.000480817,-0.001000049,-4.14E-05,-9.06E-05,6.45E-05,-0.000280617,6.96E-05,1.07E-05,-0.00020171,-2.71E-05,-1.98E-05,4.59E-05,-4.32E-05,2.37E-05,0.00038792,0.002944472,0.016090139,0.015311114,0.006757561,0.005348123,0.004016536,0.003840937,0.003713484,0.003724987,0.004036494,0.00788117,0.016424798,0.03265164,0.04837867,0.058805312,0.045349044,0.033925536,0.018590517,-0.003838897,-0.004087156,-0.001539592,-0.001709152,-0.002776598,-0.001911969,-0.000347009,4.69E-05,-0.000772711,-1.76E-05,-8.35E-05,1.45E-05,0.001624187,0.001110118,0.000440557,0.000204295,0.006116702,0.055587186,0.213675762,0.169276969,0.096772177,0.073811538,0.061384887,0.054519277,0.052495328,0.055484137,0.077558898,0.165931553,0.354104999,0.634431334,0.869343961,1,0.831831157,0.549021383,0.292497506,-0.000146584,-0.000299005,-0.000171758,-0.00021378,4.69E-05,-5.37E-05,5.94E-05,0.000820895,0.000194168,0.000514984,0.00079571,0.000229489,8.92E-05,0.002200437,0.020065059,0.099025705,0.095873381,0.049076096,0.036469852,0.029004278,0.026721266,0.028541232,0.032775025,0.053402634,0.121905182,0.275803624,0.460723732,0.695949154,0.761471098,0.69872908,0.506858013,0.317355278,0.00025653,0.002539129,0.003849235,0.003714539,0.003277536,0.001086614,-3.52E-05,0.003465858,0.027472589,0.114958415,0.108522556,0.059083945,0.043856548,0.036617952,0.030052586,0.030881592,0.030691335,0.039118369,0.081054019,0.176501121,0.296357071,0.416047998,0.454319287,0.40497115,0.270504304,0.188396894,0.001053838,0.0039211,0.018229209,0.020079675,0.016571011,0.014830387,0.012326874,0.009069283,0.007814748,0.006704257,0.008516316,0.015518174,0.031159837,0.056661396,0.085796124,0.09919372,0.083022616,0.058399716,0.040253465
RB780,-0.001607021,-0.000665733,-1.81E-05,0.001994371,0.005755114,0.008786677,0.007204157,0.005129213,0.001007739,0.001589562,0.004219161,0.002897441,0.002183835,0.001398604,0.000657076,4.58E-05,0.00097123,0.000436649,0.000900261,0.000533729,0.000134569,0.000681439,0.000888486,0.002163974,0.005109323,0.012194047,0.027712074,0.043259738,0.056591744,0.046024419,0.034689409,0.02404825,0.013948248,0.003134963,0.00120261,-0.001401204,-0.000280339,-7.70E-05,0.001663239,0.004689127,0.007329091,0.006900779,0.005283522,0.001049744,0.00109328,0.003324052,0.002533811,0.00177238,0.001096545,0.000466516,9.43E-05,0.000478394,0.000476644,0.000424018,0.000357454,0.000282609,0.000339145,0.000639594,0.001480033,0.004396968,0.010934672,0.021437425,0.037082923,0.045524048,0.049612364,0.043326847,0.035441076,0.022594765,0.016316185,0.01040662,-0.001178526,-0.001322588,-0.000780817,0.006071992,0.013342103,0.022356119,0.021376833,0.015280607,0.002603282,0.003800103,0.008456154,0.006783758,0.005053528,0.004635626,0.001629491,0.000123985,0.001400109,0.001158414,0.001184412,0.00101227,0.000875557,0.001137145,0.002191966,0.005301009,0.014463234,0.035105658,0.066353919,0.104412622,0.125550741,0.125219311,0.104814743,0.083273744,0.057805052,0.037513614,0.021623865,0.039959545,0.074897494,0.123745654,0.115322046,0.088380237,0.017524126,0.019566925,0.054282248,0.042993818,0.028735147,0.022122465,0.008267658,0.000878936,0.006675292,0.006864309,0.00620441,0.005885659,0.005907178,0.007318844,0.013418731,0.03639521,0.102448586,0.252020795,0.498107899,0.784308898,1,0.888337029,0.803767296,0.594016423,0.461995575,0.332749273,0.237506239,0.001447739,0.001418023,0.001022716,0.000730325,0.000881481,0.000202576,-3.29E-06,0.000255534,0.000400072,0.000586736,4.73E-05,-0.000331933,0.000387888,0.000251847,0.000939972,0.002229665,0.00595631,0.012167896,0.021188654,0.027903076,0.027751126,0.024399491,0.019462442,0.014817593,0.010073776,0.007865167,5.01E-05,5.40E-05,0.000118122,0.000149643,0.000227718,0.00017981,0.000592845,0.001376933,0.003636723,0.00854285,0.017401783,0.025981223,0.031336222,0.030876102,0.028101318,0.022141382,0.014883308,0.010062895,0.008122755
PE-Fire 640,-0.000395573,-0.000140777,-9.95E-05,0.000321921,-0.000187923,0.000311411,3.57E-06,5.83E-05,2.24E-05,0.000292552,0.000828413,0.000554763,0.001667974,0.005451329,0.004076711,0.003226248,0.021723564,0.02017676,0.012944892,0.010823965,0.009043701,0.007991553,0.006929366,0.005334475,0.003260197,0.002122823,0.001545104,0.000898777,0.000462765,9.83E-05,7.31E-05,3.32E-05,2.77E-05,1.45E-06,1.28E-05,-0.000332966,-9.29E-05,-2.21E-05,-4.56E-05,-5.32E-06,1.31E-05,0.000100387,0.000133706,4.18E-05,0.000218768,0.00068683,0.00050761,0.001023754,0.003727739,0.004029545,0.002670837,0.019024129,0.017191372,0.012988894,0.009646836,0.007121488,0.006765837,0.005788327,0.004935494,0.003619272,0.002657962,0.001830416,0.001453874,0.001078808,0.000964566,0.000727831,0.000634156,0.0003758,0.000266745,0.00018155,-0.00034284,-0.000295742,1.79E-05,0.000265786,5.63E-05,0.000146986,0.000526839,0.000627839,0.000178371,0.002058348,0.003855782,0.003243403,0.007549912,0.037866295,0.02786304,0.02260966,0.130866066,0.11242842,0.075088512,0.054263418,0.046863242,0.041589276,0.036903947,0.027971104,0.019648979,0.013891483,0.009775499,0.007448532,0.005908364,0.004731511,0.003849204,0.003088316,0.002216397,0.001394501,0.001029555,0.002126666,0.001490532,0.001186721,0.001784578,0.003719714,0.001286536,0.009193433,0.023048145,0.016141967,0.024702769,0.092041701,0.086873614,0.041085271,0.319073024,0.299746355,0.214303724,0.163889014,0.13198109,0.113850255,0.096187032,0.078731114,0.059165524,0.042785809,0.031181103,0.023755147,0.019141639,0.014070456,0.011920045,0.009258562,0.007544454,0.005479786,0.004223942,0.072324929,0.081923314,0.04748139,0.079808136,0.291496836,0.271707646,0.153355165,0.915781735,1,0.657348186,0.491979025,0.423113273,0.367344238,0.341004175,0.255140976,0.198057555,0.140138343,0.101096165,0.077921425,0.06638442,0.047968461,0.038520399,0.02992419,0.023178225,0.015744722,0.012912988,0.091193022,0.096815025,0.072861246,0.04849718,0.039648655,0.034500963,0.032928436,0.026583108,0.020629012,0.014327357,0.010934359,0.008035991,0.006397666,0.005252142,0.004377923,0.003706639,0.002755548,0.00187107,0.001353728
PE-Fire 700,-0.001550592,-0.000152686,-0.000362613,0.00113081,-0.000493428,-0.000288001,0.000413427,-0.000153753,-5.19E-05,0.00042991,0.000804231,0.000432846,0.0002308,0.000394889,-5.80E-06,1.37E-07,9.58E-05,0.00108254,0.005081122,0.015999113,0.026582788,0.025996629,0.020274884,0.013501137,0.008060243,0.006578441,0.005259264,0.003729383,0.002066337,0.000514234,0.000178285,0.000129082,5.29E-05,4.98E-05,1.12E-05,-0.000674401,-0.000167255,-5.04E-05,-0.000261777,0.00018475,-0.000108094,-7.64E-06,-1.33E-05,-2.05E-05,0.000145254,0.000497734,0.000327303,0.000211244,0.000217707,6.14E-05,-1.12E-05,0.000177738,0.000786924,0.003708463,0.011396318,0.018479657,0.020875027,0.015826403,0.010884959,0.007360668,0.005710277,0.004621659,0.004771343,0.004026242,0.003434894,0.002175432,0.001850773,0.001012931,0.000652252,0.00045741,-0.000713622,-0.00059529,-0.000652572,0.000377657,-0.000836451,-5.20E-05,0.000403594,0.000696224,0.000100206,0.001750352,0.003205561,0.001696932,0.001511769,0.001571019,0.000731054,0.000149619,0.00148512,0.006349544,0.022745734,0.061928022,0.106484934,0.107396525,0.084176104,0.056024793,0.038519305,0.029413088,0.024897957,0.022598978,0.018204986,0.014715833,0.010793615,0.007943975,0.005380348,0.002969638,0.001402626,0.000900528,0.000525316,0.000421134,0.000757037,0.001847385,0.000665706,0.007602342,0.01934647,0.011615973,0.006701031,0.005908428,0.002854389,0.000555099,0.003957721,0.014571168,0.061881163,0.187401244,0.322086303,0.329131321,0.242653813,0.166424323,0.117827276,0.093184972,0.081399235,0.07469809,0.065855231,0.046476155,0.035485645,0.024796537,0.018711164,0.012776719,0.008926123,0.058473579,0.069785272,0.032579489,0.019945763,0.016829318,0.007168969,0.001159817,0.01089053,0.046593067,0.19119786,0.525241646,0.952090397,1,0.812951452,0.522558639,0.384009815,0.30101758,0.257570641,0.238645212,0.204883557,0.153698442,0.110440649,0.078542729,0.059029689,0.038723888,0.030212091,0.001541439,0.004839521,0.02009285,0.055163932,0.099576379,0.104183519,0.084707198,0.054658019,0.038354529,0.029683095,0.027442374,0.024549154,0.021262965,0.016890435,0.013280145,0.009767808,0.006513826,0.004709596,0.003705848
PE-Cy7,-0.000488486,2.92E-05,3.37E-05,0.000137276,2.22E-06,-3.16E-05,0.000133009,0.000218563,9.20E-05,0.000274183,0.000796859,0.0003591,0.000381661,0.000264672,0.000139882,1.33E-05,1.59E-05,7.53E-05,4.37E-05,0.000193154,0.000129038,3.03E-05,0.000166729,0.000439147,0.001530595,0.004480929,0.010026548,0.016349835,0.020967563,0.01587794,0.010532706,0.0063612,0.003471303,0.001024591,0.000269708,-0.000262137,-7.32E-05,-1.30E-05,2.87E-05,1.58E-05,-1.01E-05,7.59E-05,0.000145725,4.24E-05,0.000194779,0.00049942,0.00033124,0.000217651,0.000141259,6.47E-05,2.00E-06,3.45E-05,4.65E-05,6.20E-05,3.82E-05,3.65E-05,5.23E-05,0.000123884,0.000401469,0.001392551,0.004136498,0.008724292,0.015882171,0.019099067,0.019350209,0.014684409,0.01051682,0.005865184,0.004041258,0.002506265,-0.000313294,-0.000319196,-0.00013659,0.000489746,-0.000128486,-0.000126919,0.000415671,0.000673836,0.000209928,0.001490565,0.002959595,0.00177943,0.001202795,0.001208112,0.0004047,6.10E-05,0.000345232,0.00033138,0.000217491,0.000261971,0.000292984,0.000361747,0.000870543,0.002656673,0.008415692,0.022962834,0.0459589,0.074072976,0.088537793,0.081028076,0.059068358,0.04089687,0.025592447,0.016024774,0.009535344,0.001936745,0.001414521,0.001145254,0.001790792,0.004091214,0.001253012,0.006742835,0.017311682,0.010643761,0.006749718,0.005636295,0.002236685,0.00016688,0.001227841,0.001222315,0.001101227,0.001040044,0.001002568,0.001279223,0.002698866,0.008368268,0.027585825,0.076317099,0.164755047,0.272393406,0.340038997,0.280888938,0.224001829,0.142601358,0.097899032,0.066027997,0.047023793,0.049873332,0.057068501,0.028045535,0.017573956,0.016708345,0.005856069,0.000456538,0.003021656,0.003443706,0.002696715,0.002469348,0.002617459,0.003348913,0.008704645,0.025776118,0.08691181,0.232131883,0.493125161,0.809417031,1,0.877795186,0.647517663,0.428968411,0.28366714,0.179767345,0.140069474,8.52E-05,8.62E-05,0.000133748,9.54E-05,0.000101195,0.000130269,0.000273923,0.000830378,0.002992915,0.008155589,0.018331146,0.029858984,0.037029425,0.035558451,0.028191531,0.019337161,0.01191219,0.007710509,0.00640656
PE-Dazzle 594,1.29E-05,1.24E-05,-4.88E-05,4.04E-05,8.91E-05,0.000190316,-3.17E-06,0.000294463,7.53E-05,0.001219125,0.004697516,0.01228922,0.02444962,0.02571625,0.008210562,0.000916556,0.005655438,0.006407659,0.005058166,0.004366311,0.003111325,0.00187115,0.001296424,0.000849675,0.000629391,0.000503867,0.000329716,0.000194694,1.76E-05,5.81E-06,8.02E-06,2.03E-05,2.10E-05,2.26E-05,3.51E-05,-0.000227789,-6.61E-05,-2.01E-05,3.22E-05,-1.92E-05,9.11E-05,0.00011968,4.16E-05,4.84E-05,0.000812565,0.003510089,0.009145002,0.020181797,0.022198501,0.009903729,0.00100083,0.005523711,0.005571818,0.005429651,0.004375902,0.002860617,0.001949923,0.001314877,0.000978669,0.000755193,0.000635695,0.00046707,0.000358306,0.000244384,0.000191073,0.000155168,0.000130917,0.000166411,0.000234712,0.000309916,-0.000226004,-0.000167582,-0.000138635,0.000441279,8.74E-05,0.000136816,0.000674847,0.000907665,0.000309775,0.004616486,0.014932223,0.038979042,0.082013376,0.112771268,0.037192939,0.004443983,0.023439364,0.023145949,0.019762008,0.015501128,0.011153708,0.007068977,0.004913232,0.003552713,0.002629518,0.002052525,0.001588287,0.001136531,0.000831974,0.00060152,0.00043773,0.000565971,0.000789924,0.001166832,0.00172518,0.001319079,0.000809068,0.000820982,0.00149032,0.003041359,0.001123603,0.016727036,0.0611628,0.147080175,0.29636544,0.366730442,0.144863385,0.011990556,0.071734189,0.07409337,0.068802996,0.058238735,0.040040824,0.026172017,0.01725879,0.012655109,0.010400949,0.008583018,0.006624489,0.005053482,0.003695289,0.002484352,0.001989494,0.001807699,0.002194334,0.002987107,0.003669623,0.136048245,0.225912604,0.429394952,0.850901277,1,0.412057401,0.038982488,0.184790796,0.224338697,0.188585573,0.153891061,0.112485434,0.072857928,0.054683472,0.037045043,0.031282028,0.025220223,0.020050979,0.015079804,0.010858262,0.007653593,0.009944126,0.004656308,0.004921314,0.00546973,0.007253186,0.000384416,0.000423581,0.000436085,0.000310269,0.000194606,0.000140024,0.000122409,6.96E-05,7.37E-05,3.79E-05,4.28E-05,2.88E-05,1.41E-05,5.30E-06,3.70E-05,2.49E-05,-1.02E-05,1.88E-05,-4.06E-06
PE-Fire 810,-0.001220755,-0.000258187,0.000151167,0.000151763,0.000376974,0.000379291,9.30E-05,0.000937654,0.000228749,0.005575675,0.01222137,0.006457162,0.004647895,0.00328627,0.000984428,0.000130002,0.000739546,0.00077185,0.000703215,0.001099439,0.001437002,0.001103492,0.000893035,0.000546191,0.000397781,0.000295778,0.000790608,0.001716527,0.00437228,0.008295342,0.011793162,0.012903271,0.01024526,0.003524413,0.00064606,-0.00066162,-0.000149276,-1.51E-05,0.000130416,-1.10E-05,9.86E-05,0.000224665,0.000513865,0.0002058,0.003405372,0.009070829,0.005103261,0.00309936,0.002296282,0.001023626,9.90E-05,0.000693483,0.000616586,0.000613633,0.00080004,0.001032041,0.000976094,0.000679623,0.000542148,0.000376523,0.000441061,0.000772218,0.001922038,0.004245074,0.00852876,0.013036334,0.016200254,0.012810726,0.009623689,0.005309008,-0.000658674,-0.000584572,-6.33E-05,0.000536605,7.93E-05,0.000521673,0.001098629,0.003942811,0.001193744,0.026562076,0.050051422,0.027784291,0.01854163,0.019761355,0.006442151,0.000841209,0.004817618,0.004155035,0.004185753,0.005101623,0.006189843,0.005611857,0.004141722,0.002940859,0.002381924,0.002866351,0.005312373,0.012448917,0.027598977,0.050915602,0.070477468,0.08252585,0.069643115,0.047456869,0.025319495,0.004642837,0.003272408,0.002677828,0.005429356,0.01565692,0.006101652,0.104127861,0.25962411,0.147787609,0.088325535,0.075435251,0.031370811,0.002790111,0.017038111,0.015683502,0.014805741,0.019498152,0.02305269,0.020255773,0.014552296,0.010409421,0.008739134,0.009927953,0.017770181,0.039644416,0.090270598,0.150914389,0.228904536,0.250978125,0.236618324,0.174006313,0.109223904,0.881261514,1,0.469722948,0.283273454,0.233225374,0.099231665,0.01041378,0.049365093,0.053834616,0.046477107,0.057787281,0.072823594,0.065169707,0.05146724,0.034389866,0.029743424,0.032899569,0.057452401,0.130559814,0.290003481,0.498430463,0.705013726,0.788908661,0.712392282,0.490306429,0.345827308,0.000237634,0.000564297,0.001410375,0.002613628,0.00329246,0.002908512,0.002168483,0.001483295,0.001077886,0.001086945,0.001414981,0.002695461,0.005478759,0.009988855,0.015511134,0.018432055,0.015846579,0.011094632,0.007831349
PE-Cy5,-0.000371707,-0.000138225,-6.23E-05,0.000253819,0.000148217,0.000148771,-3.85E-05,9.18E-05,3.44E-05,0.000221043,0.000482468,0.000320665,0.00033141,0.000215404,0.000136891,0.000795104,0.009986143,0.02224298,0.02300004,0.01851056,0.011651266,0.007934072,0.006752753,0.005622097,0.004293761,0.002817187,0.00186512,0.001184688,0.000545989,9.52E-05,6.25E-05,2.33E-05,1.72E-05,4.35E-06,6.45E-06,-0.000242032,-5.54E-05,-3.18E-05,-1.45E-05,5.93E-06,-2.15E-05,6.62E-06,5.99E-05,3.68E-06,0.00015048,0.000421129,0.000242723,0.000156563,0.000135929,9.17E-05,0.000492257,0.006532693,0.014282014,0.018239318,0.013782014,0.007748481,0.00544057,0.004258235,0.004005444,0.003419488,0.002650117,0.001759143,0.001314596,0.000924433,0.000683228,0.00054445,0.000431702,0.000300061,0.000199712,0.000111293,-0.000250677,-0.000263154,-4.98E-05,-7.36E-05,-8.01E-05,0.000195829,4.66E-05,0.000278526,7.48E-05,0.001293415,0.002408451,0.001442579,0.001071512,0.001408757,0.000733247,0.004193337,0.044368304,0.0911483,0.097147672,0.067993813,0.04402808,0.030423567,0.025317407,0.02208772,0.017581392,0.013157266,0.00863846,0.006053558,0.004443292,0.003287331,0.002475884,0.002075772,0.001462426,0.000970075,0.000448066,0.000643071,0.000404619,0.000339984,0.000613178,0.001423397,0.000548947,0.005030079,0.012432826,0.007534968,0.004861407,0.004999929,0.00299996,0.009185003,0.122819013,0.282854223,0.338208253,0.263432094,0.159173247,0.103792783,0.080281682,0.072879088,0.063671735,0.04905421,0.034171954,0.023963087,0.017268038,0.01174793,0.00967171,0.007448145,0.006334849,0.00460834,0.003180883,0.041392861,0.045854206,0.021912788,0.014140351,0.014280075,0.00900414,0.033856651,0.361004826,0.911061037,1,0.771732173,0.509713744,0.336989327,0.286992895,0.237800673,0.211873711,0.159526781,0.111398682,0.078845152,0.05766614,0.040696101,0.031443598,0.024662213,0.019572054,0.013539894,0.010379864,0.091975502,0.145131846,0.170965437,0.115933247,0.071145547,0.045069701,0.038899109,0.034805447,0.031652901,0.023576567,0.017206049,0.011517583,0.008087866,0.006235906,0.005161722,0.004259981,0.00324803,0.002292239,0.001778252
