fluorophore,synonym1,synonym2,synonym3,synonym4,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,channel.cytostellar,excitation.laser,nominal.wavelength,is.viability,class
LIVE DEAD Violet,LIVEDEAD Violet,LIVE/DEAD Violet,LD Violet,L/D Violet,V3-A,V3-A,405CH2-A,V2 (440)-A,V440-A,V2-A,FL15-A,V450-A,V2,Violet,451,TRUE,Small molecule
LIVE DEAD Yellow,LIVEDEAD Yellow,LIVE/DEAD Yellow,LD Yellow,L/D Yellow,V8-A,V8-A,405CH7-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,V8,Violet,575,TRUE,Small molecule
LIVE DEAD Aqua,LIVEDEAD Aqua,LIVE/DEAD Aqua,LD Aqua,L/D Aqua,V5-A,V5-A,405CH4-A,V4 (475)-A,V469-A,V4-A,FL18-A,V470-A,V4,Violet,517,TRUE,Small molecule
LIVE DEAD Blue,LIVEDEAD Blue,LIVE/DEAD Blue,LD Blue,L/D Blue,UV6-A,V2-A,355CH2-A,UV4 (440)-A,UV455-A,U4-A,FL10-A,UV446-A,UV4,UV,450,TRUE,Small molecule
LIVE DEAD Fixable Near-IR,LIVEDEAD NIR,LIVE/DEAD NIR,LD NIR,L/D NIR,R7-A,R7-A,637CH28-A,R6 (780)-A,R784-A,R7-A,FL45-A,R780-A,R6,Red,775,TRUE,Small molecule
MarinaBlue,Marina Blue,,,,UV6-A,V2-A,355CH2-A,UV4 (440)-A,UV440-A,U4-A,FL10-A,UV446-A,UV4,UV,462,NA,
mBanana,,,,,YG2-A,B5-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG602-A,YG2,YellowGreen,553,NA,Fluorescent Protein
mCherry,Cherry,,,,YG3-A,B6-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,610,NA,Fluorescent Protein
mCitrine,mCitrine FP,Citrine,,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,529,NA,Fluorescent Protein
mFluor Vio610,mFluorVio610,mFluor Vio 610,,,V10-A,V10-A,405CH13-A,V11 (605)-A,V600-A,V9-A,FL23-A,V615-A,V11,Violet,610,NA,Small molecule
mHoneyDew,,,,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,561,NA,Fluorescent Protein
miRFP670,miRFP-670,,,,R2-A,R2-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,670,NA,
miRFP703,miRFP-703,,,,R4-A,R4-A,637CH23-A,R3 (700)-A,R700-A,R3-A,FL47-A,R710-A,R3,Red,703,NA,
MitoSOX Red,,,,,B4-A,B4-A,488CH11-A,B5 (575)-A,B582-A,B4-A,FL38-A,B576-A,B5,Blue,580,NA,
MitoTracker Deep Red,,,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,665,NA,
MitoTracker Green,,,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,516,NA,
mKate2,mKate,mKate-2,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,633,NA,Fluorescent Protein
mNeonGreen,mNeon,mNeon Green,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,517,NA,Fluorescent Protein
mOrange,mOrange2,mOrange-2,,,YG2-A,B5-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG602-A,YG2,YellowGreen,562,NA,Fluorescent Protein
mPlum,mRaspberry,,,,R3-A,R3-A,637CH20-A,R3 (700)-A,R700-A,R3-A,FL47-A,R680-A,R3,Red,649,NA,Fluorescent Protein
mRuby,mRuby2,mRuby3,,,YG3-A,B6-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,600,NA,Fluorescent Protein
mScarlet,mScarlet-I,mScarlet1,,,YG4-A,B7-A,561CH18-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG660-A,YG5,YellowGreen,569,NA,Fluorescent Protein
mTagBFP2,mTagBFP,mBFP2,,,V3-A,V3-A,405CH2-A,V3 (460)-A,V455-A,V3-A,FL17-A,V450-A,V3,Violet,457,NA,Fluorescent Protein
