fluorophore,synonym1,synonym2,synonym3,synonym4,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,channel.cytostellar,excitation.laser,nominal.wavelength,is.viability,class
RFP,Red Fluorescent Protein,,,,YG1-A,B5-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,584,NA,Fluorescent Protein
RR688,Real Red 688,[RR688],RealRed 688,,R3-A,R3-A,637CH20-A,R3 (700)-A,R700-A,R3-A,FL47-A,R680-A,R3,Red,688,NA,Real
RV544,Real Violet 544,[RV544],RealViolet 544,,V8-A,V8-A,405CH7-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,V8,Violet,544,NA,Real
RV828,Real Violet 828,[RV828],RealViolet 828,,V16-A,V16-A,405CH33-A,V19 (810)-A,V815-A,V19-A,FL20-A,V845-A,V19,Violet,828,NA,Real
RY586,Real Yellow 586,[RY586],RealYellow 586,,YG1-A,B5-A,561CH11-A,YG2 (590)-A,Y582-A,Y2-A,FL32-A,YG585-A,YG2,YellowGreen,586,NA,Real
RY610,Real Yellow 610,[RY610],RealYellow 610,,YG3-A,B6-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,610,NA,Real
RY655,Real Yellow 655,[RY655],RealYellow 655,,YG4-A,B7-A,561CH18-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG660-A,YG5,YellowGreen,655,NA,Real
RY703,Real Yellow 703,[RY703],RealYellow 703,,YG7-A,B9-A,561CH22-A,YG7 (700)-A,Y700-A,Y6-A,FL26-A,YG695-A,YG7,YellowGreen,703,NA,Real
RY743,Real Yellow 743,[RY743],RealYellow 743,,YG8-A,B12-A,561CH25-A,YG9 (750)-A,Y757-A,Y8-A,FL28-A,YG750-A,YG9,YellowGreen,743,NA,Real
RY775,Real Yellow 775,[RY775],RealYellow 775,,YG9-A,B13-A,561CH29-A,YG10 (780)-A,Y784-A,Y9-A,FL28-A,YG780-A,YG10,YellowGreen,775,NA,Real
Sapphire,,,,,UV7-A,V3-A,355CH5-A,UV7 (500)-A,UV508-A,U7-A,FL06-A,UV515-A,UV7,UV,511,NA,Fluorescent Protein
SBB580,StarBright Blue 580,StarBright B580,Star Bright Blue 580,,B4-A,B4-A,488CH11-A,B5 (575)-A,B582-A,B4-A,FL38-A,B576-A,B5,Blue,580,NA,StarBright
SBB615,StarBright Blue 615,StarBright B615,Star Bright Blue 615,,B6-A,B6-A,488CH13-A,B7 (605)-A,B618-A,B6-A,FL39-A,B602-A,B7,Blue,615,NA,StarBright
SBB675,StarBright Blue 675,StarBright B675,Star Bright Blue 675,,B8-A,B8-A,488CH19-A,B10 (675)-A,B661-A,B9-A,FL42-A,B675-A,B10,Blue,675,NA,StarBright
SBB700,StarBright Blue 700,StarBright B700,Star Bright Blue 700,,B9-A,B9-A,488CH21-A,B11 (700)-A,B700-A,B10-A,FL41-A,B710-A,B11,Blue,700,NA,StarBright
SBB765,StarBright Blue 765,StarBright B765,Star Bright Blue 765,,B12-A,B12-A,488CH27-A,B13 (750)-A,B757-A,B12-A,FL40-A,B750-A,B13,Blue,765,NA,StarBright
SBB810,StarBright Blue 810,StarBright B810,Star Bright Blue 810,,B14-A,B14-A,488CH31-A,B15 (810)-A,B815-A,B14-A,FL40-A,B810-A,B15,Blue,810,NA,StarBright
SBR670,StarBright Red 670,StarBright R670,Star Bright Red 670,,R2-A,R2-A,637CH18-A,R2 (675)-A,R681-A,R2-A,FL46-A,R675-A,R2,Red,670,NA,StarBright
SBR715,StarBright Red 715,StarBright R715,Star Bright Red 715,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,R4,Red,715,NA,StarBright
SBR775,StarBright Red 775,StarBright R775,Star Bright Red 775,,R7-A,R7-A,637CH28-A,R6 (780)-A,R784-A,R6-A,FL44-A,R730-A,R6,Red,775,NA,StarBright
SBR815,StarBright Red 815,StarBright R815,Star Bright Red 815,,R8-A,R8-A,637CH31-A,R7 (810)-A,R815-A,R7-A,FL48-A,R780-A,R7,Red,815,NA,StarBright
SBUV400,StarBright UltraViolet 400,StarBright UV400,Star Bright UV400,,UV2-A,V1-A,355CH2-A,UV2 (390)-A,UV380-A,U2-A,FL07-A,UV379-A,UV2,UV,400,NA,StarBright
SBUV445,StarBright UltraViolet 445,StarBright UV445,Star Bright UV445,,UV6-A,V3-A,355CH4-A,UV4 (440)-A,UV440-A,U4-A,FL10-A,UV446-A,UV4,UV,445,NA,StarBright
SBUV510,StarBright UltraViolet 510,StarBright UV510,Star Bright UV510,,UV7-A,V6-A,355CH6-A,UV8 (515)-A,UV508-A,U7-A,FL06-A,UV515-A,UV8,UV,510,NA,StarBright
SBUV540,StarBright UltraViolet 540,StarBright UV540,Star Bright UV540,,UV8-A,V7-A,355CH8-A,UV10 (545)-A,UV543-A,U8-A,FL05-A,UV540-A,UV10,UV,540,NA,StarBright
SBUV575,StarBright UltraViolet 575,StarBright UV575,Star Bright UV575,,UV9-A,V8-A,355CH11-A,UV11 (575)-A,UV582-A,U9-A,FL04-A,UV585-A,UV11,UV,575,NA,StarBright
SBUV605,StarBright UltraViolet 605,StarBright UV605,Star Bright UV605,,UV10-A,V10-A,355CH13-A,UV13 (605)-A,UV600-A,U10-A,FL03-A,UV610-A,UV13,UV,605,NA,StarBright
SBUV665,StarBright UltraViolet 665,StarBright UV665,Star Bright UV665,,UV11-A,V11-A,355CH19-A,UV15 (655)-A,UV661-A,U11-A,FL00-A,UV660-A,UV15,UV,665,NA,StarBright
SBUV700,StarBright UltraViolet 700,StarBright UV700,Star Bright UV700,,UV13-A,V12-A,355CH23-A,UV17 (700)-A,UV700-A,U13-A,FL01-A,UV695-A,UV17,UV,700,NA,StarBright
SBUV740,StarBright UltraViolet 740,StarBright UV740,Star Bright UV740,,UV14-A,V14-A,355CH25-A,UV19 (750)-A,UV735-A,U15-A,FL01-A,UV736-A,UV19,UV,740,NA,StarBright
SBUV770,StarBright UltraViolet 770,StarBright UV770,Star Bright UV770,,UV15-A,V15-A,355CH27-A,UV20 (780)-A,UV757-A,U16-A,FL02-A,UV809-A,UV20,UV,770,NA,StarBright
SBUV795,StarBright UltraViolet 795,StarBright UV795,Star Bright UV795,,UV16-A,B14-A,355CH29-A,UV20 (780)-A,UV784-A,U16-A,FL02-A,UV809-A,UV20,UV,795,NA,StarBright
SBV440,StarBright Violet 440,StarBright V440,Star Bright Violet 440,,V2-A,V2-A,405CH3-A,V2 (440)-A,V440-A,V2-A,FL15-A,V427-A,V2,Violet,440,NA,StarBright
SBV475,StarBright Violet 475,StarBright V475,Star Bright Violet 475,SBUV475,V4-A,V4-A,405CH4-A,V4 (475)-A,V469-A,V4-A,FL18-A,V470-A,V4,Violet,475,NA,StarBright
SBV515,StarBright Violet 515,StarBright V515,Star Bright Violet 515,,V5-A,V5-A,405CH5-A,V6 (515)-A,V508-A,V5-A,FL13-A,V510-A,V6,Violet,515,NA,StarBright
SBV535,StarBright Violet 535,StarBright V535,Star Bright Violet 535,,V7-A,V7-A,405CH5-A,V7 (530)-A,V525-A,V6-A,FL14-A,V540-A,V7,Violet,535,NA,StarBright
SBV570,StarBright Violet 570,StarBright V570,Star Bright Violet 570,,V8-A,V8-A,405CH11-A,V9 (575)-A,V582-A,V8-A,FL12-A,V576-A,V9,Violet,570,NA,StarBright
SBV610,StarBright Violet 610,StarBright V610,Star Bright Violet 610,,V10-A,V10-A,405CH13-A,V11 (605)-A,V618-A,V9-A,FL23-A,V615-A,V11,Violet,610,NA,StarBright
SBV670,StarBright Violet 670,StarBright V670,Star Bright Violet 670,,V11-A,V11-A,405CH18-A,V14 (675)-A,V661-A,V12-A,FL22-A,V660-A,V14,Violet,670,NA,StarBright
SBV710,StarBright Violet 710,StarBright V710,Star Bright Violet 710,,V13-A,V13-A,405CH23-A,V15 (700)-A,V717-A,V13-A,FL21-A,V710-A,V15,Violet,710,NA,StarBright
SBV760,StarBright Violet 760,StarBright V760,Star Bright Violet 760,,V14-A,V14-A,405CH27-A,V17 (750)-A,V757-A,V15-A,FL19-A,V750-A,V17,Violet,760,NA,StarBright
SBV790,StarBright Violet 790,StarBright V790,Star Bright Violet 790,,V15-A,V15-A,405CH29-A,V18 (780)-A,V784-A,V17-A,FL20-A,V785-A,V18,Violet,790,NA,StarBright
SBY575,StarBright YellowGreen 575,StarBright Y575,Star Bright Yellow 575,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,575,NA,StarBright
SBY605,StarBright YellowGreen 605,StarBright Y605,Star Bright Yellow 605,,YG3-A,V10-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YG3,YellowGreen,605,NA,StarBright
SBY665,StarBright YellowGreen 665,StarBright Y665,Star Bright Yellow 665,,YG5-A,B9-A,561CH19-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG670-A,YG5,YellowGreen,665,NA,StarBright
SBY720,StarBright YellowGreen 720,StarBright Y720,Star Bright Yellow 720,,YG7-A,V13-A,561CH23-A,YG8 (725)-A,Y717-A,Y7-A,FL25-A,YG730-A,YG8,YellowGreen,720,NA,StarBright
SBY800,StarBright YellowGreen 800,StarBright Y800,Star Bright Yellow 800,,YG9-A,B14-A,561CH29-A,YG10 (780)-A,Y784-A,Y9-A,FL28-A,YG780-A,YG10,YellowGreen,800,NA,StarBright
Spark Blue 515,SB515,[SB515],SparkBlue-515,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,515,NA,Small molecule
Spark Blue 550,SB550,[SB550],SparkBlue-550,,B3-A,B3-A,488CH7-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,550,NA,Small molecule
Spark Blue 574,SB574,[SB574],SparkBlue-574,,B4-A,B4-A,488CH11-A,B5 (575)-A,B582-A,B4-A,FL38-A,B576-A,B5,Blue,574,NA,Small molecule
Spark NIR 685,SNIR685,,SparkNIR-685,,R3-A,R3-A,637CH20-A,R3 (700)-A,R700-A,R3-A,FL47-A,R680-A,R3,Red,685,NA,Small molecule
Spark PLUS B550,SPB550,[SPB550], Spark PLUS Blue 550,,B3-A,B3-A,488CH7-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,550,NA,Small molecule
Spark PLUS Blue 574,SPB574,[SPB574],SparkPLUSBlue-574,,B4-A,B4-A,488CH11-A,B5 (575)-A,B582-A,B4-A,FL38-A,B576-A,B5,Blue,574,NA,Small molecule
Spark PLUS UV 395,Spark PLUS UV395,SPUV395,Spark PLUS UV 395,,UV2-A,V1-A,355CH2-A,UV2 (390)-A,UV380-A,U2-A,FL07-A,UV379-A,UV2,UV,395,NA,Small molecule
Spark PLUS V475,Spark Violet 475,SV475,SparkViolet-475,,V5-A,V5-A,405CH4-A,V4 (475)-A,V469-A,V4-A,FL18-A,V470-A,V4,Violet,475,NA,Small molecule
Spark Red 718,SR718,,SparkRed-718,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,R4,Red,718,NA,Small molecule
Spark UV 387,Spark UV387,SUV387,SparkUV-387,,UV1-A,V1-A,355CH1-A,UV1 (375)-A,UV380-A,U1-A,FL07-A,UV379-A,UV1,UV,387,NA,Small molecule
Spark UV 395,Spark UV395,SUV395,SparkUV-395,,UV2-A,V1-A,355CH2-A,UV2 (390)-A,UV380-A,U2-A,FL07-A,UV379-A,UV2,UV,395,NA,Small molecule
Spark Violet 423,SV423,,SparkViolet-423,,V2-A,V2-A,405CH1-A,V1 (420)-A,V440-A,V1-A,FL16-A,V427-A,V1,Violet,423,NA,Small molecule
Spark Violet 500,SV500,,SparkViolet-500,,V5-A,V5-A,405CH4-A,V5 (500)-A,V508-A,V5-A,FL13-A,V510-A,V5,Violet,500,NA,Small molecule
Spark Violet 538,SV538,,SparkViolet-538,,V8-A,V8-A,405CH7-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,V8,Violet,538,NA,Small molecule
Spark YG 570,SYG570,,SparkYG-570,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,570,NA,Small molecule
Spark YG 581,SYG581,,SparkYG-581,,YG1-A,V8-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,581,NA,Small molecule
Spark YG 593,SYG593,,SparkYG-593,,YG2-A,B5-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG602-A,YG2,YellowGreen,593,NA,Small molecule
Super Bright 436,SB436,SuperBright 436,SuperBright436,,V2-A,V2-A,405CH1-A,V2 (440)-A,V440-A,V2-A,FL15-A,V427-A,V2,Violet,431,NA,SIRIGEN
Super Bright 600,SB600,SuperBright 600,SuperBright600,,V10-A,V10-A,405CH12-A,V11 (605)-A,V600-A,V9-A,FL23-A,V595-A,V11,Violet,601,NA,SIRIGEN tandem
Super Bright 645,SB645,SuperBright 645,SuperBright645,,V11-A,V11-A,405CH16-A,V13 (655)-A,V661-A,V11-A,FL22-A,V660-A,V13,Violet,645,NA,SIRIGEN tandem
Super Bright 702,SB702,SuperBright 702,SuperBright702,,V13-A,V13-A,405CH22-A,V15 (700)-A,V700-A,V13-A,FL21-A,V710-A,V15,Violet,702,NA,SIRIGEN tandem
Super Bright 780,SB780,SuperBright 780,SuperBright780,,V15-A,V15-A,405CH29-A,V18 (780)-A,V784-A,V17-A,FL20-A,V785-A,V18,Violet,780,NA,SIRIGEN tandem
sVio 667,sVio667,,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,667,NA,Small molecule
SYTO 9,Syto9,SYTO9,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,504,TRUE,
SYTOX Blue,Sytox Blue,Sytox-Blue,,,V3-A,V3-A,405CH2-A,V3 (460)-A,V455-A,V3-A,FL17-A,V450-A,V3,Violet,447,TRUE,
SYTOX Green,Sytox Green,Sytox-Green,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,523,TRUE,
SYTOX Orange,Sytox Orange,Sytox-Orange,,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,570,TRUE,
SYTOX Red,Sytox Red,Sytox-Red,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,651,TRUE,
tdTomato,TdTomato,tdTom,TD Tomato,TdT,YG2-A,B5-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG602-A,YG2,YellowGreen,581,NA,Fluorescent Protein
Texas Red,TexasRed,Texas-Red,TxRed,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,615,NA,
TMRE,,,,,B4-A,B4-A,488CH11-A,B5 (575)-A,B582-A,B4-A,FL38-A,B576-A,B5,Blue,575,NA,
TMRM,,,,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,574,NA,
TRITC,Tetramethylrhodamine,TRITC-Isothiocyanate,,,YG2-A,B5-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG602-A,YG2,YellowGreen,572,NA,
Turquoise,mTurquoise,mTurquoise2,mCerulean,Cerulean,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,474,NA,
UV375,mFluorUV375,mFluor UV375,mFluor UV 375,,UV1-A,V1-A,355CH1-A,UV1 (375)-A,UV380-A,U1-A,FL07-A,UV379-A,UV1,UV,375,NA,Small molecule
V450,,,,,V3-A,V3-A,405CH2-A,V2 (440)-A,V455-A,V2-A,FL15-A,V450-A,V2,Violet,450,NA,Small molecule
V500,,,,,V7-A,V7-A,405CH4-A,V5 (500)-A,V508-A,V5-A,FL13-A,V510-A,V5,Violet,500,NA,Small molecule
V547,cFluor V547,cFluorV547,cfluor V 547,,V8-A,V8-A,405CH8-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,V8,Violet,547,NA,Small molecule
Venus,,,,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,B4,Blue,528,NA,Fluorescent Protein
ViaKrome 808,ViaKrome808,viakrome 808,,,R6-A,R6-A,637CH25-A,R5 (750)-A,R757-A,R5-A,FL45-A,R730-A,R5,Red,740,TRUE,Small molecule
Vio 667,Vio667,,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,667,NA,Small molecule
Vio515,,,,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,514,NA,Small molecule
Viobility 405-452,Viobility 405-452 Fixable Dye,Viobility 452,Viobility 405/452,,V3-A,V3-A,405CH2-A,V2 (440)-A,V440-A,V2-A,FL15-A,V450-A,V2,Violet,452,TRUE,
Viobility 405-520,Viobility 405-520 Fixable Dye,Viobility 520,Viobility 405/520,,V7-A,V7-A,405CH7-A,V6 (515)-A,V508-A,V5-A,FL13-A,V510-A,V6,Violet,520,TRUE,
Viobility 488-520,Viobility 488-520 Fixable Dye,Viobility 488,Viobility 488/520,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,520,TRUE,
Viobility 640-770,Viobility 640-770 Fixable Dye,Viobility 770,Viobility 640/770,,R7-A,R7-A,637CH27-A,R5 (750)-A,R784-A,R5-A,FL45-A,R780-A,R5,Red,770,TRUE,
VioBlue,,,,,V3-A,V3-A,405CH2-A,V2 (440)-A,V440-A,V2-A,FL15-A,V450-A,V2,Violet,452,NA,
VioBright 667,VioBright667,,,,R2-A,R2-A,637CH18-A,R2 (675)-A,R681-A,R2-A,FL46-A,R675-A,R2,Red,668,NA,
VioBright B515,Vio Bright B515,VioBrightB515,Vio-Bright 515,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,B2,Blue,515,NA,
VioBright FITC,Vio Bright FITC,VioBrightFITC,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,517,NA,
VioBright V600,Vio Bright V600,VBV600,,,V10-A,V10-A,405CH13-A,V11 (605)-A,V600-A,V9-A,FL23-A,V615-A,V11,Violet,600,NA,
VioGreen,,,,,V7-A,V7-A,405CH4-A,V6 (515)-A,V508-A,V5-A,FL13-A,V510-A,V6,Violet,520,NA,
Violet Fluor 450,VFl450,VF450,,,V3-A,V3-A,405CH2-A,V2 (440)-A,V440-A,V2-A,FL15-A,V450-A,V2,Violet,445,NA,
YFP,Yellow Fluorescent Protein,EYFP,,,B3-A,B3-A,488CH7-A,B3 (530)-A,B543-A,B2-A,FL37-A,B537-A,B3,Blue,527,NA,
Zombie Aqua,ZombieAqua,Zombie-Aqua,,,V5-A,V5-A,405CH4-A,V4 (475)-A,V469-A,V4-A,FL18-A,V470-A,V4,Violet,516,TRUE,
Zombie Green,ZombieGreen,Zombie-Green,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,B2,Blue,515,TRUE,
Zombie NIR,ZombieNIR,Zombie-NIR,Zombie NIR,,R7-A,R7-A,637CH26-A,R5 (750)-A,R784-A,R5-A,FL45-A,R780-A,R5,Red,750,TRUE,
Zombie Red,ZombieRed,Zombie-Red,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R661-A,R1-A,FL46-A,R660-A,R1,Red,660,TRUE,
Zombie UV,ZombieUV,Zombie-UV,,,UV6-A,V2-A,355CH3-A,UV5 (460)-A,UV469-A,U5-A,FL09-A,UV446-A,UV5,UV,465,TRUE,
Zombie Violet,ZombieViolet,Zombie-Violet,,,V3-A,V3-A,405CH2-A,V2 (440)-A,V440-A,V2-A,FL15-A,V450-A,V2,Violet,423,TRUE,
Zombie Yellow,ZombieYellow,Zombie-Yellow,,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YG1,YellowGreen,570,TRUE,
