,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8,UV9,UV10,UV11,UV12,UV13,UV14,UV15,UV16,UV17,UV18,UV19,UV20,UV21,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,YG1,YG2,YG3,YG4,YG5,YG6,YG7,YG8,YG9,YG10,YG11,YG12,R1,R2,R3,R4,R5,R6,R7,R8
BUV395,0.639552925207732,1,0.496248331227368,0.339436166935307,0.313235878499958,0.296369554443288,0.183868605642796,0.0759029231985069,0.0495932436475016,0.019891323275304,0.00915536663883519,0.00421937160385235,0.00154040550616832,0.000458772944228391,8.48339264266611E-05,0.000162970437609112,0,6.36254448199958E-05,7.14390959382409E-05,9.82287569150812E-05,0,0.00162858814021709,0.00228493483414967,0.000978938861528707,0.000155156786490867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23247174807003E-05,0,0,0,0,0,0,0,0,4.46494349614006E-06,0,4.46494349614006E-06,0,3.79520197171905E-05,0,0,0,0,0,0,0,0,5.58117937017507E-06
BUV615,0.00711194739014057,0.0161944929259123,0.0148694029144408,0.0106953693783056,0.011162936853782,0.0116342903007197,0.00513567028731737,0.00094081390814476,0.000986245565680926,0.0542624359697577,0.265593469956423,0.618222637837756,0.569565332616523,0.260548662984178,0.13684015249893,0.131058974077453,0.0557200349823763,0.0566400260474837,0.0329720254568721,0.017390859907698,0.00965990618362719,3.21807574214506E-05,0,0,0,0,0,0,0.00402448766341199,0.0519416354639519,0.193179193815237,0.269850794864708,0.0815195375057263,0.0655143431528813,0.0429745620577512,0.0207149428507608,0.0142447176233186,0.00890081890562709,0.00254038685056392,0.000738264434962689,0,0,0,0.00341873222959645,0.0257635357944672,0.0611699409009855,0.0526912578132986,0.0265680547300034,0.0233726948166265,0.013992950521139,0.00894435757743258,0.00483468555614028,0.00185512601606009,0.00127965835393533,2.65018002294299E-05,0.0905585443696925,0.393981441167896,0.747443522770725,1,0.470853698704819,0.338452597744318,0.245851521771229,0.164767370983558,0.0744416638587378,0.0483260327183654,0.021142757625893,0.0128628380399269,0.00385601193338205,0.00487065228502308,0.00344712701555656,0.000910526136453983,0.000478925389860411,0.0003293795171372,0,0
BB515,0,0,0,0,0,0,0.0060911009360951,0.0056170720595525,0.00381085549407885,0.00172956965985966,0.000627322687770592,0.000200750423348796,4.31586547966636E-05,0,0,0,4.65612043449483E-06,0,0,0,0,0,0,0,0,0.00683142408517978,0.00727679991289473,0.00606065707171572,0.00240972140640625,0.00120414437698243,0.000754291510388163,0.000438928891728724,2.73994779414504E-05,0,0,0,0,0,0,0,1,0.787793729566795,0.45533831371077,0.111699971060421,0.0640026733294556,0.0317361168815168,0.0136076910513663,0.0048762116658023,0.00301591247066644,0.00167799417196987,0.00108630871367868,0.00050089110981854,0.000171022885190099,0.00014559330435555,4.44122256828738E-05,0,0,0,0,0,0,0,0,0,0,0,1.30729535276201E-05,0,0,0,0,0,0,0,1.45056059690031E-05
RB613,0,0,0,0,0,0,0,0,0,0.00105154587901775,0.0115460842744551,0.0428682571692811,0.0495106798615149,0.0201147621805051,0.00965890677911576,0.00790475141636993,0.00334015811871179,0.00303266778847349,0.0014399547172135,0.000596033887881684,0.000277885998058745,0,0,6.47348063659577E-05,0,0.000541956641100365,0.000558140342691855,0.000427091832243697,0.00284477896024059,0.0308358723982233,0.16145650156528,0.261877948838188,0.0698567505574496,0.0493338433172957,0.0274357161662942,0.0136397026461931,0.00879367083061467,0.0049739225305941,0.00171507764426882,0.000649716410233941,0.0161106775721132,0.0126102613352027,0.00950851677164363,0.0263454872932285,0.263426847497822,0.960570976781125,1,0.455543963814822,0.357106796246802,0.18770449192453,0.122833505630547,0.0622002808069588,0.0282776633734808,0.0252907836187783,0.0120493579215075,0.00702412121513547,0.0561420502697349,0.184697875948375,0.290407446397409,0.119599133658823,0.0762074718966075,0.046293281040241,0.0312838846252072,0.0130882726187953,0.00715674862329987,0.00321779354570297,0.00192388686724194,0.00199691088661817,0.00215361648495528,0.00128838053645418,0.000399461122209446,0.000261307572038195,0.000134601030309705,0,1.18417328718215E-05
RB744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125793063969852,0.0592043123598722,0.0397843820063922,0.0256261031340934,0.0157229404188332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000863426036349759,0.0331441110528073,0.0903782855507322,0.0660067738396222,0.0285884653914039,0.0133997996469971,0.0138338978199685,0.0183084482182894,0.0136049229595001,0.00589610265706244,0.00326766207126843,0.0014167819491485,0.00102084625292181,0,0.00141201163955541,0.0339073605877021,0.50615369937509,1,0.580327243238086,0.592577398273148,0.323560559080284,0,0,0,0,0,0,0,0.0049563516672232,0.00853408386204265,0.00591995420502791,0.00271430615846968,0.00134045699565902,0.000290988885178648,2.86218575585556E-05,0.00386872107999809,0.0246529599771025,0.0655631350474646,0.0484758860850069,0.0222773457997424,0.0196489052139484
RY743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013108600818034,0.00728494373330086,0.00372484831987851,0.00259306748422312,0.00114610717534723,0.000358158492296011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149710249779733,0.00697692742992629,0.00345264786573354,0.00126788106272788,0.000179079246148005,0,0,0,0.0100141114445965,0.00661160576778436,0.00278647307006296,0.00174781344240453,0.000236384604915367,0.00097419109904515,0.00911871521385644,0.115821293238684,0.198548741789217,0.108493370486308,0.11419525368366,0.0572910324276699,0.102347370758508,0.0817246047721037,0.0255223741610137,0.0259306748422312,0.00974907416029741,0.00785799732097448,0.0499058043165262,0.71630265825233,1,0.682313417333438,0.407899543706081,0.273998409776294,0,0,0.00155440785656469,0.0118263934156143,0.0291182854236657,0.0213319198011504,0.00696260109023445,0.00598124682134338
RR688,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5295363628351E-05,0.00249915415431069,0.00712216286296731,0.0025986654118771,0.00302798540880646,0.00197600925739013,0.0008017764181065,0,0,0,0,0,0,0,0,0,0,0,0,0.00481918804500183,0.0331855828090038,0.0425794455232728,0.0192341044981932,0.0168373047802365,0.0115205604474026,0.00349710990876239,0.00106619204535439,0,0,0,0,0,0,0,0.000230297481796548,0.00299386726335512,0.00365917109965626,0.00204708872708042,0.0012623713816996,0.00038382913632758,0.000287161057548782,0.000164904369681479,0,0.000440692712079814,0,0,0.0208831481950079,0.0991757624694714,0.129464146093899,0.07648719574433,0.0422240481748214,0.0293501346245156,0.0110372200535086,0.00776756444775517,0.146750673122578,0.729465852001171,1,0.321714209354627,0.305041808944072,0.233174778729611,0.0845902552890233,0.0746959931081346
FVS780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00395532801831329,0.0194731205233301,0.0131034645375856,0.00600319865657133,0.000157787626010705,0.000786456077509537,0.000836628996791592,0.000319652909772249,0,0,0,0,0,0,0,0,7.99575498099191E-05,0.000141831573942207,0.0023841887579685,0.063861084483218,0.302314709015684,0.133181798115874,0.0507489327617285,0.00102632872693929,0.000894425363173042,0.00107845183036306,0.00108891190894129,0.00110646356621664,0.00088981583701992,0.000632036951379959,0.000374258065739998,0.000303342278768895,0.000175693862220909,0.000260083648716522,0.00278823145423636,0.00946920774478401,0.0104875584456891,0.00389682249406213,0.00567273108928599,0.0069297134133488,0.00470118480778187,0.00617641046624825,0.00446485794770067,0.00328109617368553,0.00252885696338955,0.00469019286080135,0.036913617302601,0.14036875854646,0.0789069324259422,0.0371962167136809,0.00441539418628833,0.00847355009570972,0.00694336470234074,0.0126006716079605,0.233153201324778,1,0.479944749510371,0.302837890234063
